Tarih,TP_TRY_MT04_K
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,42.0
2001-01-01,45.0
2001-02-01,50.0
2001-03-01,70.0
2001-04-01,70.0
2001-05-01,75.0
2001-06-01,70.0
2001-07-01,70.0
2001-08-01,65.0
2001-09-01,70.0
2001-10-01,70.0
2001-11-01,65.0
2001-12-01,60.0
2002-01-01,65.0
2002-02-01,60.0
2002-03-01,60.0
2002-04-01,55.0
2002-05-01,50.0
2002-06-01,55.0
2002-07-01,55.0
2002-08-01,55.0
2002-09-01,50.0
2002-10-01,50.0
2002-11-01,55.0
2002-12-01,55.0
2003-01-01,55.0
2003-02-01,55.0
2003-03-01,50.0
2003-04-01,50.0
2003-05-01,45.0
2003-06-01,41.0
2003-07-01,40.0
2003-08-01,36.0
2003-09-01,35.0
2003-10-01,32.0
2003-11-01,30.0
2003-12-01,30.0
2004-01-01,28.0
2004-02-01,26.0
2004-03-01,22.0
2004-04-01,25.0
2004-05-01,25.0
2004-06-01,26.0
2004-07-01,27.0
2004-08-01,27.0
2004-09-01,25.0
2004-10-01,25.0
2004-11-01,25.0
2004-12-01,24.0
2005-01-01,24.0
2005-02-01,24.0
2005-03-01,22.0
2005-04-01,20.0
2005-05-01,20.0
2005-06-01,20.0
2005-07-01,21.0
2005-08-01,20.0
2005-09-01,20.0
2005-10-01,20.0
2005-11-01,20.0
2005-12-01,20.0
2006-01-01,19.0
2006-02-01,17.0
2006-03-01,17.0
2006-04-01,17.0
2006-05-01,17.0
2006-06-01,18.0
2006-07-01,20.5
2006-08-01,21.0
2006-09-01,21.1
2006-10-01,21.05
2006-11-01,21.0
2006-12-01,21.0
2007-01-01,20.5
2007-02-01,19.7
2007-03-01,19.85
2007-04-01,19.6
2007-05-01,19.3
2007-06-01,19.5
2007-07-01,19.25
2007-08-01,19.0
2007-09-01,18.75
2007-10-01,18.25
2007-11-01,17.6
2007-12-01,18.05
2008-01-01,17.5
2008-02-01,17.0
2008-03-01,18.0
2008-04-01,17.6
2008-05-01,19.1
2008-06-01,20.85
2008-07-01,20.9
2008-08-01,20.0
2008-09-01,20.0
2008-10-01,20.5
2008-11-01,23.0
2008-12-01,22.5
2009-01-01,18.25
2009-02-01,15.0
2009-03-01,15.0
2009-04-01,15.0
2009-05-01,15.0
2009-06-01,15.0
2009-07-01,15.0
2009-08-01,15.0
2009-09-01,15.0
2009-10-01,9.85
2009-11-01,9.75
2009-12-01,9.76
2010-01-01,9.75
2010-02-01,9.75
2010-03-01,9.8
2010-04-01,9.75
2010-05-01,10.1
2010-06-01,10.15
2010-07-01,9.9
2010-08-01,9.75
2010-09-01,9.75
2010-10-01,9.75
2010-11-01,9.75
2010-12-01,9.75
2011-01-01,9.0
2011-02-01,8.9
2011-03-01,9.25
2011-04-01,10.0
2011-05-01,10.5
2011-06-01,11.26
2011-07-01,11.2
2011-08-01,10.6
2011-09-01,9.65
2011-10-01,10.15
2011-11-01,10.5
2011-12-01,12.25
2012-01-01,11.75
2012-02-01,12.0
2012-03-01,11.0
2012-04-01,11.25
2012-05-01,11.45
2012-06-01,11.75
2012-07-01,12.39
2012-08-01,12.2
2012-09-01,10.0
2012-10-01,10.25
2012-11-01,10.0
2012-12-01,10.0
2013-01-01,10.0
2013-02-01,10.0
2013-03-01,9.5
2013-04-01,9.5
2013-05-01,9.75
2013-06-01,10.0
2013-07-01,9.45
2013-08-01,9.85
2013-09-01,9.85
