Tarih,TP_FINHESTNKS1_ZP27
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,774528975.32
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,921473024.81
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,1036671275.33
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,1313875123.63
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,1466011670.46
2015-01-01,1541510063.24
2015-04-01,1630528386.67
2015-07-01,1781789221.99
2015-10-01,1708498457.73
2016-01-01,1774153567.05
2016-04-01,1832512609.78
2016-07-01,1889803018.19
2016-10-01,2023368649.31
2017-01-01,2153146429.9
2017-04-01,2243361096.82
2017-07-01,2394203872.7
2017-10-01,2416109571.97
2018-01-01,2507555477.7
2018-04-01,2692967927.43
2018-07-01,3028467961.51
2018-10-01,2830236102.06
2019-01-01,3013324563.72
2019-04-01,3102472901.26
2019-07-01,3210588909.69
2019-10-01,3438735009.64
2020-01-01,3735722549.94
2020-04-01,4130182274.55
2020-07-01,4553392578.3
2020-10-01,4751676141.44
2021-01-01,5130062789.93
2021-04-01,5456521829.73
2021-07-01,5980173070.04
2021-10-01,7918261162.94
2022-01-01,8642261060.33
2022-04-01,10030528289.88
2022-07-01,11331963146.7
2022-10-01,12672417677.88
2023-01-01,13701621726.0
2023-04-01,16588176948.33
2023-07-01,19582069527.71
2023-10-01,21993659340.68
2024-01-01,23122712663.92
2024-04-01,25067171171.26
2024-07-01,26920398460.35
2024-10-01,28698420644.81
2025-01-01,31399224543.02
2025-04-01,34927480154.75
