Tarih,TP_FINHESTNKS11_ZP7
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,88022150.07
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,87051276.86
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,90903108.8
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,108070352.22
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,122106448.51
2015-01-01,123766903.52
2015-04-01,134758963.54
2015-07-01,147789836.5
2015-10-01,147473862.8
2016-01-01,143485894.15
2016-04-01,149450639.21
2016-07-01,145703892.88
2016-10-01,177629946.14
2017-01-01,183079495.84
2017-04-01,179591839.69
2017-07-01,190029615.51
2017-10-01,203461650.83
2018-01-01,197678053.0
2018-04-01,227762302.72
2018-07-01,268441118.3
2018-10-01,242718152.14
2019-01-01,286334587.59
2019-04-01,299406624.98
2019-07-01,294492388.46
2019-10-01,328481302.49
2020-01-01,331516211.09
2020-04-01,410699804.06
2020-07-01,454501585.14
2020-10-01,441336744.75
2021-01-01,455777648.93
2021-04-01,499971288.96
2021-07-01,530376441.0
2021-10-01,800534073.03
2022-01-01,828865564.56
2022-04-01,986100826.61
2022-07-01,1120296367.97
2022-10-01,1279975353.94
2023-01-01,1350080218.0
2023-04-01,1550424466.93
2023-07-01,1750584176.58
2023-10-01,1934245769.51
2024-01-01,2147684645.05
2024-04-01,2081149294.71
2024-07-01,2300569064.53
2024-10-01,2393859689.05
2025-01-01,2495988235.03
2025-04-01,2665811561.14
