Tarih,TP_FINHESTNKS11_ZP9
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,10962979.3
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,19063195.38
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,26996897.68
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,31395318.72
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,37031236.74
2015-01-01,36811328.9
2015-04-01,35786042.21
2015-07-01,37227819.61
2015-10-01,37488492.65
2016-01-01,39735014.91
2016-04-01,39455620.69
2016-07-01,38362205.72
2016-10-01,28118708.93
2017-01-01,28245921.19
2017-04-01,32567735.62
2017-07-01,36496512.73
2017-10-01,41180214.84
2018-01-01,48178710.71
2018-04-01,49334130.38
2018-07-01,42288602.87
2018-10-01,39410498.27
2019-01-01,59204220.79
2019-04-01,65232624.3
2019-07-01,63956296.46
2019-10-01,65895203.21
2020-01-01,40353196.31
2020-04-01,47542335.48
2020-07-01,76989690.82
2020-10-01,63451365.17
2021-01-01,62373359.62
2021-04-01,65881929.47
2021-07-01,71974579.91
2021-10-01,77674735.03
2022-01-01,79761990.56
2022-04-01,82949311.62
2022-07-01,83960488.07
2022-10-01,82939665.55
2023-01-01,91007838.92
2023-04-01,97017421.46
2023-07-01,91729349.55
2023-10-01,97121590.3
2024-01-01,119724720.28
2024-04-01,193439136.36
2024-07-01,217246509.97
2024-10-01,229287456.15
2025-01-01,265834949.27
2025-04-01,319079380.45
