Tarih,TP_FINHESTNKS11_ZP21
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,274731.0
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,628893.0
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,340367.0
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,881142.0
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,1019751.0
2015-01-01,2184823.0
2015-04-01,1717043.0
2015-07-01,2318955.0
2015-10-01,1251670.0
2016-01-01,1295874.0
2016-04-01,1640887.0
2016-07-01,1270401.0
2016-10-01,2332539.0
2017-01-01,2276649.0
2017-04-01,2843135.0
2017-07-01,1721334.0
2017-10-01,2330244.0
2018-01-01,2689454.0
2018-04-01,4917976.0
2018-07-01,8568757.0
2018-10-01,3398221.0
2019-01-01,4082130.0
2019-04-01,3878263.0
2019-07-01,4832239.0
2019-10-01,4000583.0
2020-01-01,5757441.0
2020-04-01,4992454.0
2020-07-01,7477344.0
2020-10-01,4878629.0
2021-01-01,7118960.0
2021-04-01,4394742.0
2021-07-01,5059816.0
2021-10-01,24438838.0
2022-01-01,19441433.0
2022-04-01,21009832.0
2022-07-01,19939638.0
2022-10-01,16169920.0
2023-01-01,13148615.0
2023-04-01,64137395.0
2023-07-01,33902062.0
2023-10-01,20661064.0
2024-01-01,22740968.0
2024-04-01,20296238.0
2024-07-01,17002872.0
2024-10-01,29162852.0
2025-01-01,20275779.0
2025-04-01,17500080.0
