Tarih,TP_FINHESTNKS12_ZP15
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,25465350.01
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,32328779.17
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,37459800.61
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,43227829.2
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,51270164.86
2015-01-01,51548788.47
2015-04-01,57884098.56
2015-07-01,62718446.2
2015-10-01,62340378.02
2016-01-01,64257227.94
2016-04-01,66266605.64
2016-07-01,67925657.0
2016-10-01,78374894.35
2017-01-01,82639232.35
2017-04-01,85032812.89
2017-07-01,91631467.54
2017-10-01,98569612.63
2018-01-01,101381957.8
2018-04-01,107168218.32
2018-07-01,128811496.6
2018-10-01,129192350.58
2019-01-01,128258776.7
2019-04-01,135609599.18
2019-07-01,128307610.04
2019-10-01,147766281.86
2020-01-01,159091148.6
2020-04-01,192167898.55
2020-07-01,224887269.86
2020-10-01,247464232.63
2021-01-01,255033229.51
2021-04-01,277797512.9
2021-07-01,292285945.97
2021-10-01,419605778.44
2022-01-01,443107354.72
2022-04-01,485752352.71
2022-07-01,580708937.43
2022-10-01,813325218.66
2023-01-01,910404312.27
2023-04-01,1159930149.44
2023-07-01,1471618590.95
2023-10-01,1637890853.1
2024-01-01,1879988120.91
2024-04-01,2156182584.76
2024-07-01,2330830866.4
2024-10-01,2620165904.23
2025-01-01,2830030196.66
2025-04-01,3227303496.6
