Tarih,TP_FINHESTNKS12_ZP36
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,52268652.85
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,71728001.25
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,66914443.95
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,97812292.88
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,124618211.03
2015-01-01,142147831.59
2015-04-01,179248177.63
2015-07-01,232529062.58
2015-10-01,237610858.6
2016-01-01,244921428.09
2016-04-01,258552363.01
2016-07-01,261614585.26
2016-10-01,307161391.86
2017-01-01,379014073.13
2017-04-01,391172873.13
2017-07-01,400702633.78
2017-10-01,438739704.93
2018-01-01,450117039.31
2018-04-01,434843795.72
2018-07-01,565305824.46
2018-10-01,469069049.19
2019-01-01,464850751.89
2019-04-01,490608993.98
2019-07-01,449307879.36
2019-10-01,461866450.79
2020-01-01,459626035.84
2020-04-01,506318615.85
2020-07-01,580105762.62
2020-10-01,586978417.71
2021-01-01,619932062.68
2021-04-01,593595323.34
2021-07-01,579734001.58
2021-10-01,888478430.91
2022-01-01,933186056.29
2022-04-01,1076504762.07
2022-07-01,1076837607.99
2022-10-01,1028931191.5
2023-01-01,1118874112.18
2023-04-01,1472922500.43
2023-07-01,1427532039.27
2023-10-01,1451290110.72
2024-01-01,1891880379.39
2024-04-01,2217200545.48
2024-07-01,2875004371.89
2024-10-01,3098804847.05
2025-01-01,3200814728.12
2025-04-01,4146572287.96
