Tarih,TP_FINHESTNKS12T_ZP6
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,8463505.9
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,10099253.0
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,13501788.1
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,20003067.0
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,19561579.0
2015-01-01,21046901.0
2015-04-01,22483715.0
2015-07-01,27507162.0
2015-10-01,25102095.0
2016-01-01,22978076.0
2016-04-01,26291339.0
2016-07-01,29192582.0
2016-10-01,30945184.0
2017-01-01,29117933.0
2017-04-01,35171476.0
2017-07-01,37703543.0
2017-10-01,40597497.0
2018-01-01,39774581.0
2018-04-01,40645240.0
2018-07-01,66541540.0
2018-10-01,59944727.0
2019-01-01,55213573.0
2019-04-01,62905230.0
2019-07-01,60928373.0
2019-10-01,65216017.0
2020-01-01,62823665.91
2020-04-01,65460367.01
2020-07-01,82797586.13
2020-10-01,84435725.78
2021-01-01,105811273.01
2021-04-01,107294952.19
2021-07-01,115809111.29
2021-10-01,171970276.19
2022-01-01,195316034.14
2022-04-01,229043614.61
2022-07-01,279646016.41
2022-10-01,327679445.85
2023-01-01,313498505.34
2023-04-01,384079586.99
2023-07-01,327914946.49
2023-10-01,340333200.94
2024-01-01,322809515.14
2024-04-01,313088966.48
2024-07-01,308975564.34
2024-10-01,305654415.79
2025-01-01,322749273.0
2025-04-01,333369644.0
