Tarih,TP_FINHESTNKS12T_ZP10
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,0.0
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,0.0
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,0.0
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,0.0
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,0.0
2015-01-01,51907101.42
2015-04-01,55523579.8
2015-07-01,59503487.1
2015-10-01,53360212.8
2016-01-01,55250182.78
2016-04-01,57100584.09
2016-07-01,56188337.24
2016-10-01,58922890.03
2017-01-01,66413410.43
2017-04-01,68439279.02
2017-07-01,66821395.69
2017-10-01,70378047.79
2018-01-01,68239139.12
2018-04-01,66380004.6
2018-07-01,75494651.55
2018-10-01,75743109.69
2019-01-01,80793535.75
2019-04-01,100835727.1
2019-07-01,112237574.18
2019-10-01,132320235.57
2020-01-01,108344357.7
2020-04-01,130000706.1
2020-07-01,149756207.31
2020-10-01,148603905.79
2021-01-01,154154869.22
2021-04-01,165287537.52
2021-07-01,170782903.93
2021-10-01,222289000.86
2022-01-01,289548888.47
2022-04-01,338395773.68
2022-07-01,389492983.7
2022-10-01,443566895.06
2023-01-01,500593169.77
2023-04-01,537396391.67
2023-07-01,582378615.31
2023-10-01,635193429.44
2024-01-01,690211391.57
2024-04-01,671072069.01
2024-07-01,734242528.97
2024-10-01,788928437.78
2025-01-01,842910877.72
2025-04-01,949735886.76
