Tarih,TP_FINHESTNKS121_ZP22
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,0.0
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,0.0
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,0.0
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,0.0
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,0.0
2015-01-01,0.0
2015-04-01,0.0
2015-07-01,0.0
2015-10-01,0.0
2016-01-01,0.0
2016-04-01,0.0
2016-07-01,0.0
2016-10-01,0.0
2017-01-01,5304261.0
2017-04-01,5231839.0
2017-07-01,5403144.0
2017-10-01,5805107.0
2018-01-01,6223890.0
2018-04-01,6937396.0
2018-07-01,9130622.0
2018-10-01,7844169.0
2019-01-01,8258559.0
2019-04-01,8592386.0
2019-07-01,8275808.0
2019-10-01,8808045.0
2020-01-01,9578116.0
2020-04-01,10117531.0
2020-07-01,11780877.0
2020-10-01,11372379.0
2021-01-01,12655404.0
2021-04-01,13321021.0
2021-07-01,69285132.0
2021-10-01,100592854.0
2022-01-01,122956933.0
2022-04-01,327178077.0
2022-07-01,439037181.0
2022-10-01,466806126.0
2023-01-01,460931932.0
2023-04-01,767608304.0
2023-07-01,999327127.0
2023-10-01,1037097979.0
2024-01-01,1103058257.0
2024-04-01,1023604871.0
2024-07-01,780756098.0
2024-10-01,745990371.0
2025-01-01,364066212.0
2025-04-01,302491094.0
