Tarih,TP_FINHESTNKS122_ZP1
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,-86349403.42
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,-604826.56
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,-26039142.68
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,32901298.38
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,19264156.97
2015-01-01,100255423.61
2015-04-01,104748833.94
2015-07-01,155168104.69
2015-10-01,113413964.11
2016-01-01,95035977.64
2016-04-01,127541086.45
2016-07-01,114737858.7
2016-10-01,106329318.02
2017-01-01,68441478.18
2017-04-01,59662907.75
2017-07-01,49434452.77
2017-10-01,62589424.73
2018-01-01,56162895.46
2018-04-01,108853396.89
2018-07-01,89978309.87
2018-10-01,22139737.85
2019-01-01,108216268.48
2019-04-01,91789615.87
2019-07-01,25010028.68
2019-10-01,-58822119.01
2020-01-01,180114320.31
2020-04-01,168295550.76
2020-07-01,106214437.58
2020-10-01,90244380.25
2021-01-01,321911622.21
2021-04-01,408074267.16
2021-07-01,475605285.13
2021-10-01,537050855.97
2022-01-01,891367057.79
2022-04-01,1117042346.97
2022-07-01,1217592907.22
2022-10-01,1103659024.63
2023-01-01,1326246464.79
2023-04-01,1094369608.27
2023-07-01,904883390.85
2023-10-01,1170884393.54
2024-01-01,803511088.46
2024-04-01,-152409234.65
2024-07-01,-239113503.26
2024-10-01,-72125137.35
2025-01-01,8835024.92
2025-04-01,-281349932.76
