Tarih,TP_FINHESTNKS122_ZP31
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,3300313.0
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,19413406.0
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,42908577.0
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,67838395.0
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,100487953.0
2015-01-01,111332746.0
2015-04-01,113315519.0
2015-07-01,119283600.0
2015-10-01,111786038.0
2016-01-01,109328026.0
2016-04-01,115846372.0
2016-07-01,119147739.0
2016-10-01,136145104.0
2017-01-01,145000353.0
2017-04-01,159303344.0
2017-07-01,166680067.0
2017-10-01,179992044.0
2018-01-01,200013882.0
2018-04-01,218704186.0
2018-07-01,273535895.0
2018-10-01,235850097.0
2019-01-01,278013370.0
2019-04-01,288617580.0
2019-07-01,277514646.0
2019-10-01,281969054.0
2020-01-01,312510130.0
2020-04-01,329972929.0
2020-07-01,356453105.0
2020-10-01,339061438.0
2021-01-01,363823903.0
2021-04-01,368682898.0
2021-07-01,377719244.0
2021-10-01,500298296.0
2022-01-01,516393535.0
2022-04-01,528300375.0
2022-07-01,554452596.0
2022-10-01,516153772.0
2023-01-01,520197342.0
2023-04-01,672159075.0
2023-07-01,752065192.0
2023-10-01,867417512.0
2024-01-01,1143028413.0
2024-04-01,1211241498.0
2024-07-01,1380632599.0
2024-10-01,1576278256.0
2025-01-01,1784323229.0
2025-04-01,2104394501.0
