Tarih,TP_FINHESTNKS123_ZP9
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,3657220.0
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,4499571.0
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,5247477.0
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,3005266.0
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,4533207.0
2015-01-01,4542301.0
2015-04-01,4739243.0
2015-07-01,5799312.0
2015-10-01,5639106.0
2016-01-01,6229232.3
2016-04-01,7228476.02
2016-07-01,6357210.27
2016-10-01,6347464.47
2017-01-01,5549932.74
2017-04-01,5454588.9
2017-07-01,5019486.65
2017-10-01,5452335.89
2018-01-01,7009689.29
2018-04-01,6235637.41
2018-07-01,4905449.46
2018-10-01,4261689.25
2019-01-01,9471223.32
2019-04-01,10921687.78
2019-07-01,11603834.37
2019-10-01,12826014.35
2020-01-01,8426081.42
2020-04-01,12895557.79
2020-07-01,10703635.8
2020-10-01,7796835.59
2021-01-01,11475126.93
2021-04-01,16323711.33
2021-07-01,19841671.07
2021-10-01,20984565.32
2022-01-01,20443842.09
2022-04-01,21769005.14
2022-07-01,28283926.7
2022-10-01,35389697.84
2023-01-01,34407578.18
2023-04-01,23685120.94
2023-07-01,28735755.03
2023-10-01,41409059.81
2024-01-01,36055010.78
2024-04-01,31005005.54
2024-07-01,46340645.6
2024-10-01,96886023.57
2025-01-01,212584344.66
2025-04-01,174238642.06
