Tarih,TP_FINHESTNKS125_ZP9
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,137464.0
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,116272.0
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,106567.0
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,941208.58
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,1000905.91
2015-01-01,921617.27
2015-04-01,840890.83
2015-07-01,801491.82
2015-10-01,1052083.71
2016-01-01,1448964.87
2016-04-01,1426997.06
2016-07-01,1254637.66
2016-10-01,930117.63
2017-01-01,1175284.24
2017-04-01,1110664.1
2017-07-01,1262668.03
2017-10-01,1250290.14
2018-01-01,2364974.93
2018-04-01,1888586.92
2018-07-01,1703395.06
2018-10-01,1624572.86
2019-01-01,1574319.02
2019-04-01,1545582.53
2019-07-01,1430248.96
2019-10-01,2816384.74
2020-01-01,2520657.45
2020-04-01,2355790.26
2020-07-01,2511010.52
2020-10-01,3232142.37
2021-01-01,3572814.34
2021-04-01,3530894.47
2021-07-01,3149875.51
2021-10-01,4061515.12
2022-01-01,5361161.02
2022-04-01,7805179.1
2022-07-01,11963079.95
2022-10-01,13418006.95
2023-01-01,16543978.25
2023-04-01,18957938.98
2023-07-01,27623056.84
2023-10-01,36846557.37
2024-01-01,39209972.43
2024-04-01,44394684.25
2024-07-01,42383511.43
2024-10-01,47880736.54
2025-01-01,68046605.89
2025-04-01,99902335.49
