Tarih,TP_FINHESTNKS125_ZP36
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,8025001.5
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,10222002.24
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,8924451.25
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,14085481.24
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,23446055.92
2015-01-01,27925177.1
2015-04-01,29659889.39
2015-07-01,37213417.21
2015-10-01,35239062.05
2016-01-01,37923741.76
2016-04-01,41088237.38
2016-07-01,44739577.04
2016-10-01,53872513.32
2017-01-01,54495204.34
2017-04-01,57468976.08
2017-07-01,59518638.82
2017-10-01,66896940.85
2018-01-01,68087658.85
2018-04-01,72685538.71
2018-07-01,76612794.43
2018-10-01,65989139.88
2019-01-01,64039443.81
2019-04-01,58588708.71
2019-07-01,56927572.93
2019-10-01,57211572.35
2020-01-01,57838774.87
2020-04-01,58654401.11
2020-07-01,64958149.88
2020-10-01,72521549.15
2021-01-01,75399049.68
2021-04-01,80454938.16
2021-07-01,79615234.67
2021-10-01,104547101.46
2022-01-01,119042535.43
2022-04-01,135060836.75
2022-07-01,100623307.14
2022-10-01,112072578.52
2023-01-01,128559364.2
2023-04-01,247039272.95
2023-07-01,195582636.35
2023-10-01,235397101.38
2024-01-01,260528911.31
2024-04-01,265742286.18
2024-07-01,277034345.71
2024-10-01,307459691.36
2025-01-01,319611472.71
2025-04-01,386755689.37
