Tarih,TP_FINHESTNKS126_ZP7
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,1502883.31
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,444028.7
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,188356.31
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,3487.25
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,3414.0
2015-01-01,2745.81
2015-04-01,30011.65
2015-07-01,5302.0
2015-10-01,6334.0
2016-01-01,20378.0
2016-04-01,30011.65
2016-07-01,15501.0
2016-10-01,11136.92
2017-01-01,14743.82
2017-04-01,94512.06
2017-07-01,18371.03
2017-10-01,15146.33
2018-01-01,450093.45
2018-04-01,377103.23
2018-07-01,344731.82
2018-10-01,202930.77
2019-01-01,275028.32
2019-04-01,47391.6
2019-07-01,495709.55
2019-10-01,2033981.62
2020-01-01,570143.14
2020-04-01,538005.03
2020-07-01,504664.54
2020-10-01,1389847.36
2021-01-01,746214.82
2021-04-01,729684.93
2021-07-01,673795.83
2021-10-01,1888294.78
2022-01-01,1835479.36
2022-04-01,998096.15
2022-07-01,804720.77
2022-10-01,2191194.77
2023-01-01,2079733.94
2023-04-01,1504450.67
2023-07-01,1442038.38
2023-10-01,5211361.62
2024-01-01,4936547.38
2024-04-01,4445085.24
2024-07-01,3887250.68
2024-10-01,9789667.77
2025-01-01,7612998.58
2025-04-01,6854322.52
