Tarih,TP_FINHESTNKS127_ZP5
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,9123276.39
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,10403884.1
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,13383510.69
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,16713586.23
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,25223211.02
2015-01-01,26935939.41
2015-04-01,27175472.96
2015-07-01,29916733.51
2015-10-01,31270078.67
2016-01-01,51819664.25
2016-04-01,54483022.02
2016-07-01,59093227.79
2016-10-01,59158063.81
2017-01-01,65280208.85
2017-04-01,69333640.82
2017-07-01,72376120.05
2017-10-01,74180168.91
2018-01-01,82702912.74
2018-04-01,85347765.02
2018-07-01,93906755.13
2018-10-01,68466963.6
2019-01-01,86926618.2
2019-04-01,88533157.98
2019-07-01,88790215.75
2019-10-01,90713754.82
2020-01-01,79235694.63
2020-04-01,79805229.79
2020-07-01,88716961.97
2020-10-01,90344538.39
2021-01-01,99878147.08
2021-04-01,100687519.96
2021-07-01,108133492.66
2021-10-01,115761974.19
2022-01-01,107459051.24
2022-04-01,98109327.14
2022-07-01,111938848.76
2022-10-01,148972956.23
2023-01-01,193237894.12
2023-04-01,243707417.54
2023-07-01,261542817.99
2023-10-01,308599539.23
2024-01-01,299577758.4
2024-04-01,327082505.9
2024-07-01,388613985.81
2024-10-01,454686121.98
2025-01-01,527098795.51
2025-04-01,604535029.43
