Tarih,TP_FINHESTNKS127_ZP17
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,225978.84
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,201074.06
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,247196.56
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,405666.45
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,584462.83
2015-01-01,507840.95
2015-04-01,610763.79
2015-07-01,615312.44
2015-10-01,645813.21
2016-01-01,713364.39
2016-04-01,1001177.79
2016-07-01,756238.07
2016-10-01,936335.11
2017-01-01,1143231.02
2017-04-01,1001715.26
2017-07-01,1463454.44
2017-10-01,1566863.88
2018-01-01,1690192.53
2018-04-01,1522401.49
2018-07-01,1246558.95
2018-10-01,991535.9
2019-01-01,1062457.16
2019-04-01,918981.17
2019-07-01,1270052.69
2019-10-01,2308415.95
2020-01-01,5216150.63
2020-04-01,6283524.99
2020-07-01,7081149.32
2020-10-01,6825679.41
2021-01-01,8114963.49
2021-04-01,8299558.73
2021-07-01,9692872.92
2021-10-01,14570588.61
2022-01-01,18779118.29
2022-04-01,24353191.38
2022-07-01,36461310.58
2022-10-01,51103413.35
2023-01-01,75801176.18
2023-04-01,84146507.51
2023-07-01,117448354.21
2023-10-01,144078745.78
2024-01-01,179761234.38
2024-04-01,180398456.89
2024-07-01,243976217.93
2024-10-01,278024748.18
2025-01-01,303933304.21
2025-04-01,343506015.75
