Tarih,TP_FINHESTNKS127_ZP19
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,0.0
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,0.0
2015-01-01,
2015-04-01,
2015-07-01,
2015-10-01,
2016-01-01,703593.49
2016-04-01,986918.45
2016-07-01,745367.64
2016-10-01,909962.81
2017-01-01,1130220.36
2017-04-01,987884.28
2017-07-01,1425301.54
2017-10-01,1424960.67
2018-01-01,1628509.76
2018-04-01,1439439.36
2018-07-01,1184965.43
2018-10-01,917003.06
2019-01-01,817326.01
2019-04-01,748306.25
2019-07-01,1004438.32
2019-10-01,1924865.83
2020-01-01,5003051.86
2020-04-01,6112071.51
2020-07-01,7007504.71
2020-10-01,6737616.79
2021-01-01,7903044.71
2021-04-01,8054234.05
2021-07-01,9390233.76
2021-10-01,14381920.35
2022-01-01,18471295.32
2022-04-01,24059901.71
2022-07-01,34639443.41
2022-10-01,49644270.79
2023-01-01,74825177.6
2023-04-01,83562919.12
2023-07-01,115976200.53
2023-10-01,142513454.22
2024-01-01,173925812.05
2024-04-01,168823150.54
2024-07-01,233813021.66
2024-10-01,266651123.99
2025-01-01,294388630.88
2025-04-01,335353247.32
