Tarih,TP_FINHESTNKS127_ZP34
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,17755.25
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,4794.7
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,171064.63
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,217488.25
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,351696.56
2015-01-01,472732.94
2015-04-01,483284.95
2015-07-01,727347.2
2015-10-01,993097.71
2016-01-01,691888.79
2016-04-01,736909.7
2016-07-01,603117.91
2016-10-01,666559.15
2017-01-01,608696.05
2017-04-01,744036.97
2017-07-01,686387.77
2017-10-01,285185.19
2018-01-01,811520.3
2018-04-01,725659.15
2018-07-01,906100.09
2018-10-01,321898.51
2019-01-01,769866.32
2019-04-01,793698.98
2019-07-01,824552.89
2019-10-01,681696.73
2020-01-01,839671.59
2020-04-01,826147.51
2020-07-01,1138200.43
2020-10-01,781061.05
2021-01-01,1445082.32
2021-04-01,1240633.93
2021-07-01,996254.02
2021-10-01,2850502.39
2022-01-01,2106721.16
2022-04-01,1890643.8
2022-07-01,2227548.83
2022-10-01,6184456.0
2023-01-01,25917839.29
2023-04-01,32831953.7
2023-07-01,40447439.24
2023-10-01,46321944.36
2024-01-01,32447984.25
2024-04-01,15780416.83
2024-07-01,8865427.01
2024-10-01,12304398.82
2025-01-01,18110770.04
2025-04-01,23437324.33
