Tarih,TP_FINHESTNKS128_ZP15
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,1374772.94
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,1630921.39
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,1943903.25
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,2118990.31
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,2388841.15
2015-01-01,2284095.91
2015-04-01,2977267.74
2015-07-01,3004719.39
2015-10-01,3166167.11
2016-01-01,3228915.23
2016-04-01,3490732.23
2016-07-01,3259978.46
2016-10-01,3487035.0
2017-01-01,3902211.86
2017-04-01,3028357.93
2017-07-01,4510882.45
2017-10-01,4116963.35
2018-01-01,5354455.29
2018-04-01,5213273.76
2018-07-01,4740948.4
2018-10-01,4083203.74
2019-01-01,4096108.98
2019-04-01,3973806.31
2019-07-01,4465557.1
2019-10-01,5951644.79
2020-01-01,5603678.22
2020-04-01,6466581.65
2020-07-01,6768747.6
2020-10-01,7088104.04
2021-01-01,8541287.28
2021-04-01,8247490.25
2021-07-01,8866458.19
2021-10-01,9300631.88
2022-01-01,13798650.7
2022-04-01,15146728.45
2022-07-01,24515692.99
2022-10-01,39416100.16
2023-01-01,54159947.26
2023-04-01,59794781.44
2023-07-01,95451758.94
2023-10-01,103901773.68
2024-01-01,123978738.75
2024-04-01,135559396.73
2024-07-01,143440291.92
2024-10-01,173418780.87
2025-01-01,187027666.92
2025-04-01,207486922.83
