Tarih,TP_FINHESTNKS128_ZP22
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,6077557.15
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,7680370.16
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,10178800.39
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,11900551.62
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,13393615.98
2015-01-01,15382781.32
2015-04-01,15583092.47
2015-07-01,15256972.31
2015-10-01,16431229.91
2016-01-01,19457880.07
2016-04-01,19811896.49
2016-07-01,18221653.07
2016-10-01,19216995.22
2017-01-01,22353766.35
2017-04-01,20611815.13
2017-07-01,19327426.46
2017-10-01,21508199.98
2018-01-01,24847098.0
2018-04-01,25497418.76
2018-07-01,25052887.78
2018-10-01,25238638.34
2019-01-01,30832372.54
2019-04-01,30935523.7
2019-07-01,30033675.78
2019-10-01,31607370.09
2020-01-01,35118302.69
2020-04-01,35014136.47
2020-07-01,35790541.23
2020-10-01,38287024.6
2021-01-01,45174839.17
2021-04-01,45126884.54
2021-07-01,44703787.34
2021-10-01,56377299.43
2022-01-01,71179064.93
2022-04-01,80816124.87
2022-07-01,87447363.15
2022-10-01,108707303.64
2023-01-01,153844489.01
2023-04-01,173052565.01
2023-07-01,172363080.98
2023-10-01,219522293.15
2024-01-01,296430370.91
2024-04-01,274414814.97
2024-07-01,264406426.29
2024-10-01,323024933.35
2025-01-01,417655508.44
2025-04-01,421163596.81
