Tarih,TP_FINHESTNKS129_ZP1
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,-0.45
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,-0.06
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,0.1
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,-0.23
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,0.35
2015-01-01,0.47
2015-04-01,0.56
2015-07-01,0.3
2015-10-01,0.09
2016-01-01,-5310216.96
2016-04-01,-5310216.96
2016-07-01,-5310216.96
2016-10-01,-5310216.96
2017-01-01,-5838165.49
2017-04-01,-5838165.69
2017-07-01,-5838165.69
2017-10-01,-5838165.69
2018-01-01,-6762869.83
2018-04-01,-6762869.83
2018-07-01,-6762869.83
2018-10-01,-7425422.22
2019-01-01,-7588327.27
2019-04-01,-7588327.27
2019-07-01,-7588327.27
2019-10-01,-7588327.27
2020-01-01,-8867390.51
2020-04-01,-8867390.51
2020-07-01,-8867390.51
2020-10-01,-8867390.51
2021-01-01,-9117271.3
2021-04-01,-9117271.3
2021-07-01,-9117271.3
2021-10-01,-9117271.3
2022-01-01,-14274182.88
2022-04-01,-14274182.88
2022-07-01,-14274182.88
2022-10-01,-14274182.88
2023-01-01,-20969187.92
2023-04-01,-20969187.92
2023-07-01,-20969187.92
2023-10-01,-20969187.92
2024-01-01,-20969187.92
2024-04-01,-91024835.95
2024-07-01,-76818198.3
2024-10-01,-73990594.76
2025-01-01,-79949955.18
2025-04-01,-97825180.11
