Tarih,TP_FINHESTNKS129_ZP12
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,1610601.0
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,1702033.0
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,1655579.0
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,1781323.0
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,2465889.0
2015-01-01,2998492.0
2015-04-01,3128343.0
2015-07-01,3019704.0
2015-10-01,2898567.0
2016-01-01,3649392.63
2016-04-01,3121109.97
2016-07-01,3641000.1
2016-10-01,4101710.0
2017-01-01,4093222.1
2017-04-01,3104924.24
2017-07-01,3131275.74
2017-10-01,3204779.79
2018-01-01,2820728.59
2018-04-01,2716895.93
2018-07-01,3332331.42
2018-10-01,4430712.16
2019-01-01,11508309.68
2019-04-01,11372129.61
2019-07-01,9432671.96
2019-10-01,10623015.45
2020-01-01,7498510.82
2020-04-01,6080994.73
2020-07-01,6053759.29
2020-10-01,7297606.63
2021-01-01,5914516.9
2021-04-01,6090354.7
2021-07-01,6243555.89
2021-10-01,3424596.99
2022-01-01,2984315.93
2022-04-01,3596851.15
2022-07-01,4632111.83
2022-10-01,5821115.98
2023-01-01,2706154.73
2023-04-01,4302132.22
2023-07-01,4011938.9
2023-10-01,7487644.3
2024-01-01,19124753.93
2024-04-01,33206725.77
2024-07-01,45274809.37
2024-10-01,64967365.12
2025-01-01,81450627.07
2025-04-01,99258959.81
