Tarih,TP_FINHESTNKS129_ZP44
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,0.0
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,0.0
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,0.0
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,0.0
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,0.0
2015-01-01,0.0
2015-04-01,0.0
2015-07-01,0.0
2015-10-01,0.0
2016-01-01,3449843.75
2016-04-01,3449843.75
2016-07-01,3449843.75
2016-10-01,3449843.75
2017-01-01,3448787.25
2017-04-01,3448787.25
2017-07-01,3448787.25
2017-10-01,3448787.25
2018-01-01,3490471.77
2018-04-01,3490471.77
2018-07-01,3490471.77
2018-10-01,3710271.65
2019-01-01,4066277.24
2019-04-01,4066277.24
2019-07-01,4066277.24
2019-10-01,4066277.24
2020-01-01,4526621.64
2020-04-01,4526621.64
2020-07-01,4526621.64
2020-10-01,4526621.64
2021-01-01,4720793.34
2021-04-01,4720793.34
2021-07-01,4720793.34
2021-10-01,4720793.34
2022-01-01,5446716.26
2022-04-01,5446716.26
2022-07-01,5446716.26
2022-10-01,5446716.26
2023-01-01,6747141.51
2023-04-01,6747141.51
2023-07-01,6747141.51
2023-10-01,6747141.51
2024-01-01,6747141.51
2024-04-01,12657445.79
2024-07-01,12817844.41
2024-10-01,8659837.01
2025-01-01,22457034.81
2025-04-01,20547333.34
