Tarih,TP_FINHESTNKS13_ZP14
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,32077795.55
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,34226004.09
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,29903848.42
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,31763077.61
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,39156659.24
2015-01-01,42948373.78
2015-04-01,43365864.61
2015-07-01,45667345.26
2015-10-01,45337343.88
2016-01-01,46026553.63
2016-04-01,46750512.81
2016-07-01,48475182.92
2016-10-01,52301179.18
2017-01-01,54316580.12
2017-04-01,54445445.0
2017-07-01,52080128.84
2017-10-01,51674814.15
2018-01-01,70271998.31
2018-04-01,77698126.36
2018-07-01,88960667.62
2018-10-01,86425684.42
2019-01-01,66957913.3
2019-04-01,87890537.89
2019-07-01,87370094.82
2019-10-01,104966119.78
2020-01-01,167163797.07
2020-04-01,206166863.55
2020-07-01,224453206.16
2020-10-01,223092625.37
2021-01-01,234121434.36
2021-04-01,241587927.65
2021-07-01,245641514.6
2021-10-01,313706282.53
2022-01-01,399440184.2
2022-04-01,442387377.37
2022-07-01,474409781.72
2022-10-01,499614677.14
2023-01-01,632754523.29
2023-04-01,744982345.77
2023-07-01,795632521.31
2023-10-01,918243400.8
2024-01-01,1002140108.64
2024-04-01,915559858.29
2024-07-01,989433427.82
2024-10-01,1085563899.78
2025-01-01,1176423002.0
2025-04-01,1285183293.5
