Tarih,TP_FINHESTNKS13_ZP32
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,0.0
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,0.0
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,0.0
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,0.0
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,0.0
2015-01-01,74155887.9
2015-04-01,76036539.3
2015-07-01,79405778.46
2015-10-01,74249874.66
2016-01-01,76496470.72
2016-04-01,80468430.6
2016-07-01,81104919.69
2016-10-01,82777543.78
2017-01-01,87579135.91
2017-04-01,91807181.3
2017-07-01,94668123.41
2017-10-01,98052319.7
2018-01-01,99555353.11
2018-04-01,100720305.54
2018-07-01,111083396.7
2018-10-01,114529648.56
2019-01-01,120096295.7
2019-04-01,132478034.03
2019-07-01,141318150.89
2019-10-01,62624099.72
2020-01-01,2665390.43
2020-04-01,4662069.49
2020-07-01,174128250.61
2020-10-01,173129421.72
2021-01-01,187817697.97
2021-04-01,184808106.68
2021-07-01,191081812.27
2021-10-01,237685140.06
2022-01-01,317438225.28
2022-04-01,382237454.73
2022-07-01,420852156.98
2022-10-01,462386983.06
2023-01-01,517702691.76
2023-04-01,608025587.27
2023-07-01,652783251.16
2023-10-01,686964837.79
2024-01-01,660749331.3
2024-04-01,666510812.17
2024-07-01,700112175.79
2024-10-01,722309454.65
2025-01-01,725210677.33
2025-04-01,1106804559.99
