Tarih,TP_FINHESTNKS1311_ZP23
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,259757924.1
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,286871571.68
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,296499956.95
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,300674243.32
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,315840619.16
2015-01-01,301436695.87
2015-04-01,324166869.41
2015-07-01,328422551.31
2015-10-01,358457992.82
2016-01-01,338286068.01
2016-04-01,350993709.4
2016-07-01,343987414.43
2016-10-01,382821019.7
2017-01-01,383737927.27
2017-04-01,390373561.7
2017-07-01,402165003.3
2017-10-01,412539082.34
2018-01-01,415833529.91
2018-04-01,420142929.97
2018-07-01,460382441.41
2018-10-01,466998333.44
2019-01-01,507494162.33
2019-04-01,513606334.49
2019-07-01,558096323.64
2019-10-01,610077785.76
2020-01-01,689124141.63
2020-04-01,775370523.26
2020-07-01,878409712.42
2020-10-01,893348690.21
2021-01-01,1000407255.26
2021-04-01,1026070629.8
2021-07-01,1138646939.63
2021-10-01,1396502506.15
2022-01-01,1684211449.89
2022-04-01,1974516379.35
2022-07-01,2044690690.93
2022-10-01,2426115539.21
2023-01-01,2761599342.84
2023-04-01,3065209179.52
2023-07-01,3649031894.82
2023-10-01,4326168737.38
2024-01-01,4526272746.89
2024-04-01,4454734698.01
2024-07-01,4971768200.36
2024-10-01,5684114161.38
2025-01-01,6224998873.5
2025-04-01,8068516512.81
