Tarih,TP_FINHESTNKS1311_ZP7
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,29864569.15
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,35075989.26
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,34670060.82
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,42092816.88
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,39095864.3
2015-01-01,35204842.98
2015-04-01,50489525.67
2015-07-01,47250006.01
2015-10-01,49224355.6
2016-01-01,48091851.05
2016-04-01,58111255.93
2016-07-01,49439816.44
2016-10-01,47627314.34
2017-01-01,49729586.48
2017-04-01,59412067.05
2017-07-01,77679888.88
2017-10-01,74047779.27
2018-01-01,74296625.27
2018-04-01,57249745.44
2018-07-01,71434776.12
2018-10-01,59933734.13
2019-01-01,104875110.18
2019-04-01,72043100.75
2019-07-01,104417598.77
2019-10-01,99031722.15
2020-01-01,48031506.32
2020-04-01,48578224.14
2020-07-01,62836197.05
2020-10-01,56750542.52
2021-01-01,73312759.32
2021-04-01,74417929.84
2021-07-01,130733946.71
2021-10-01,168169011.34
2022-01-01,195792085.82
2022-04-01,240886745.12
2022-07-01,169937995.11
2022-10-01,200279779.24
2023-01-01,263541918.03
2023-04-01,310347782.95
2023-07-01,411203906.98
2023-10-01,392253247.7
2024-01-01,536269173.75
2024-04-01,945429182.95
2024-07-01,858989896.99
2024-10-01,750341151.11
2025-01-01,940108404.26
2025-04-01,1378898095.75
