Tarih,TP_FINHESTNKS1311_ZP35
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,8631784.8
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,9180274.55
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,6603487.29
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,6081086.5
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,5972062.01
2015-01-01,979840.91
2015-04-01,1010267.35
2015-07-01,1153401.51
2015-10-01,1116516.1
2016-01-01,1094772.47
2016-04-01,1102086.3
2016-07-01,1141559.44
2016-10-01,1265356.25
2017-01-01,1368599.62
2017-04-01,1345660.1
2017-07-01,1316109.4
2017-10-01,1399852.63
2018-01-01,0.0
2018-04-01,0.0
2018-07-01,0.0
2018-10-01,0.0
2019-01-01,2088360.52
2019-04-01,2218137.07
2019-07-01,2084231.56
2019-10-01,2199744.54
2020-01-01,10000.0
2020-04-01,0.0
2020-07-01,0.0
2020-10-01,0.0
2021-01-01,0.0
2021-04-01,0.0
2021-07-01,0.0
2021-10-01,0.0
2022-01-01,0.0
2022-04-01,0.0
2022-07-01,0.0
2022-10-01,0.0
2023-01-01,0.0
2023-04-01,0.0
2023-07-01,0.0
2023-10-01,0.0
2024-01-01,0.0
2024-04-01,43.0
2024-07-01,378.0
2024-10-01,191099.0
2025-01-01,1652.0
2025-04-01,201197.0
