Tarih,TP_FINHESTNKS1311_ZP42
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,0.0
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,0.0
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,0.0
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,0.0
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,107461.97
2015-01-01,118464.13
2015-04-01,129864.79
2015-07-01,137262.91
2015-10-01,247364.09
2016-01-01,248361.7
2016-04-01,3088447.93
2016-07-01,5335002.53
2016-10-01,8618868.62
2017-01-01,8788522.64
2017-04-01,9029452.15
2017-07-01,8902235.43
2017-10-01,9740304.61
2018-01-01,9952043.42
2018-04-01,9902179.94
2018-07-01,9792923.37
2018-10-01,12298121.73
2019-01-01,11957689.0
2019-04-01,12005805.17
2019-07-01,11710940.15
2019-10-01,13551775.84
2020-01-01,13712418.14
2020-04-01,14423081.87
2020-07-01,14155172.29
2020-10-01,18339394.54
2021-01-01,17099726.15
2021-04-01,16714244.47
2021-07-01,16508926.3
2021-10-01,20426009.24
2022-01-01,21023940.67
2022-04-01,20376101.63
2022-07-01,20265851.76
2022-10-01,26589302.66
2023-01-01,66768288.2
2023-04-01,56943736.27
2023-07-01,53518311.79
2023-10-01,51422190.81
2024-01-01,52879604.95
2024-04-01,49762900.18
2024-07-01,43729731.09
2024-10-01,71633481.37
2025-01-01,60616534.15
2025-04-01,61084847.49
