Tarih,TP_FINHESTNKS1311_ZP44
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,39466234.23
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,52497426.2
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,54924933.45
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,45715957.04
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,49714690.82
2015-01-01,38221616.22
2015-04-01,37732908.64
2015-07-01,37930731.27
2015-10-01,65857343.7
2016-01-01,45851758.06
2016-04-01,42892402.98
2016-07-01,43177836.38
2016-10-01,67313743.39
2017-01-01,53337645.23
2017-04-01,47254695.17
2017-07-01,48516000.65
2017-10-01,64522951.67
2018-01-01,62157972.97
2018-04-01,53541428.97
2018-07-01,53991719.4
2018-10-01,65358319.95
2019-01-01,68937072.21
2019-04-01,64894044.35
2019-07-01,71531633.52
2019-10-01,88087419.98
2020-01-01,137954211.78
2020-04-01,130852647.43
2020-07-01,144238937.52
2020-10-01,153184532.33
2021-01-01,161198137.12
2021-04-01,148184499.55
2021-07-01,202914002.48
2021-10-01,343890448.34
2022-01-01,381198429.78
2022-04-01,372849900.1
2022-07-01,383540578.39
2022-10-01,622542075.86
2023-01-01,686130638.0
2023-04-01,801076052.31
2023-07-01,860938805.14
2023-10-01,1766346246.18
2024-01-01,1739418234.49
2024-04-01,1663091402.63
2024-07-01,1525890673.33
2024-10-01,2276327462.16
2025-01-01,2281251093.13
2025-04-01,2176104910.82
