Tarih,TP_FINHESTNKS1313_ZP34
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,30626977.39
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,29327118.33
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,28910636.52
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,31546185.57
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,30255067.33
2015-01-01,31383962.55
2015-04-01,32066593.07
2015-07-01,33513072.69
2015-10-01,35560140.81
2016-01-01,35945379.45
2016-04-01,37772008.54
2016-07-01,40170061.83
2016-10-01,45959737.61
2017-01-01,48562265.61
2017-04-01,51010939.67
2017-07-01,53366729.95
2017-10-01,60150665.79
2018-01-01,67048280.32
2018-04-01,71447953.19
2018-07-01,79811017.16
2018-10-01,80771779.93
2019-01-01,83738182.75
2019-04-01,83239995.04
2019-07-01,82034888.35
2019-10-01,86902736.24
2020-01-01,104179372.17
2020-04-01,107744365.3
2020-07-01,113127694.18
2020-10-01,114569062.51
2021-01-01,113752778.24
2021-04-01,112861590.57
2021-07-01,110622511.51
2021-10-01,134990780.3
2022-01-01,137477865.91
2022-04-01,141632300.04
2022-07-01,145042210.9
2022-10-01,167744117.77
2023-01-01,175084029.26
2023-04-01,215111144.28
2023-07-01,234391500.54
2023-10-01,278848597.83
2024-01-01,299403145.03
2024-04-01,327016173.75
2024-07-01,347050499.15
2024-10-01,368155826.65
2025-01-01,399055699.26
2025-04-01,429578717.89
