Tarih,TP_FINHESTNKS1314_ZP36
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,11797.42
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,10641.14
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,9106.02
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,8212.41
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,7200.21
2015-01-01,7200.21
2015-04-01,6652.91
2015-07-01,8320.94
2015-10-01,8884.14
2016-01-01,8969.54
2016-04-01,8918.97
2016-07-01,8721.96
2016-10-01,8840.37
2017-01-01,9299.7
2017-04-01,8757.39
2017-07-01,9147.31
2017-10-01,9015.75
2018-01-01,9682.24
2018-04-01,9450.63
2018-07-01,12518.61
2018-10-01,9394.23
2019-01-01,9642.74
2019-04-01,8808.7
2019-07-01,8230.48
2019-10-01,7479.2
2020-01-01,8028.4
2020-04-01,6970.88
2020-07-01,8140.38
2020-10-01,6129.64
2021-01-01,6530.07
2021-04-01,4694.43
2021-07-01,4541.82
2021-10-01,6456.18
2022-01-01,6966.52
2022-04-01,7484.85
2022-07-01,7431.35
2022-10-01,8243.17
2023-01-01,8364.1
2023-04-01,11321.5
2023-07-01,11513.78
2023-10-01,12898.88
2024-01-01,13538.42
2024-04-01,13582.78
2024-07-01,14304.69
2024-10-01,13587.71
2025-01-01,15165.15
2025-04-01,16616.83
