Tarih,TP_FINHESTNKS14_ZP9
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,10517436.26
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,11953363.32
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,16494432.06
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,19951049.31
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,22644375.89
2015-01-01,21856211.7
2015-04-01,22279999.21
2015-07-01,22906319.07
2015-10-01,22997673.88
2016-01-01,22978841.49
2016-04-01,22316509.12
2016-07-01,21695707.95
2016-10-01,18154210.54
2017-01-01,17925927.34
2017-04-01,17663829.09
2017-07-01,21216119.62
2017-10-01,25527049.62
2018-01-01,29820845.63
2018-04-01,33553753.77
2018-07-01,32364588.41
2018-10-01,31753174.96
2019-01-01,46250845.67
2019-04-01,51645078.53
2019-07-01,46246462.74
2019-10-01,42932540.66
2020-01-01,46171821.03
2020-04-01,56445542.39
2020-07-01,78495774.23
2020-10-01,76868781.32
2021-01-01,82286807.46
2021-04-01,86959053.54
2021-07-01,98611130.44
2021-10-01,128947103.13
2022-01-01,154615080.76
2022-04-01,180073873.3
2022-07-01,205200422.45
2022-10-01,220424965.36
2023-01-01,241209674.99
2023-04-01,339180431.87
2023-07-01,324550141.49
2023-10-01,383113193.73
2024-01-01,428281339.13
2024-04-01,436258148.72
2024-07-01,458104857.79
2024-10-01,445065508.91
2025-01-01,521407619.93
2025-04-01,607104430.82
