Tarih,TP_FINHESTNKS14_ZP12
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,420372.54
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,288727.1
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,410472.48
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,386383.63
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,447983.8
2015-01-01,458374.43
2015-04-01,523925.8
2015-07-01,312103.02
2015-10-01,386538.46
2016-01-01,278393.61
2016-04-01,408955.29
2016-07-01,408975.12
2016-10-01,466628.23
2017-01-01,532740.32
2017-04-01,799485.07
2017-07-01,834431.39
2017-10-01,639029.7
2018-01-01,703054.48
2018-04-01,859490.42
2018-07-01,1196382.19
2018-10-01,1303904.49
2019-01-01,1553699.07
2019-04-01,2047208.63
2019-07-01,2148189.69
2019-10-01,2180673.05
2020-01-01,2166780.14
2020-04-01,2570490.83
2020-07-01,2942181.41
2020-10-01,2984799.5
2021-01-01,3363874.95
2021-04-01,3424139.99
2021-07-01,2911282.52
2021-10-01,3873839.62
2022-01-01,4666057.3
2022-04-01,5549045.65
2022-07-01,7462335.32
2022-10-01,42981790.69
2023-01-01,7083604.55
2023-04-01,6415882.43
2023-07-01,8196117.13
2023-10-01,10460274.88
2024-01-01,13838571.05
2024-04-01,10901788.96
2024-07-01,19650170.58
2024-10-01,41175970.13
2025-01-01,61364997.66
2025-04-01,56739071.36
