Tarih,TP_FINHESTNKS14_ZP16
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,57939221.96
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,60256566.55
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,72077581.68
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,75595317.18
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,88057778.83
2015-01-01,91907961.38
2015-04-01,93722575.56
2015-07-01,88690019.46
2015-10-01,92088146.22
2016-01-01,97156734.35
2016-04-01,93473635.32
2016-07-01,94591611.07
2016-10-01,96246303.94
2017-01-01,106184992.35
2017-04-01,94995672.22
2017-07-01,97780303.77
2017-10-01,108295247.17
2018-01-01,116056509.92
2018-04-01,111054567.71
2018-07-01,122195752.54
2018-10-01,118747161.52
2019-01-01,123204558.02
2019-04-01,126654619.74
2019-07-01,131148733.73
2019-10-01,156703922.55
2020-01-01,152587426.8
2020-04-01,207397715.12
2020-07-01,248851751.53
2020-10-01,290599973.22
2021-01-01,329533729.29
2021-04-01,314160582.83
2021-07-01,320761036.37
2021-10-01,403889366.98
2022-01-01,476468446.37
2022-04-01,527964847.91
2022-07-01,673180125.66
2022-10-01,1138809632.29
2023-01-01,1060260892.23
2023-04-01,1235463724.44
2023-07-01,1871760620.2
2023-10-01,1662894736.64
2024-01-01,2039777410.89
2024-04-01,2252331402.79
2024-07-01,2071789037.14
2024-10-01,2148080951.31
2025-01-01,2179312565.73
2025-04-01,2273472837.57
