Tarih,TP_FINHESTNKS15_ZP1
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,7764779.11
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,6570741.96
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,7650710.11
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,1349696.48
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,4185221.81
2015-01-01,-405628.98
2015-04-01,-208682.64
2015-07-01,-5447997.04
2015-10-01,-5288674.69
2016-01-01,-1780571.1
2016-04-01,-4519304.33
2016-07-01,-5696787.79
2016-10-01,-1550087.59
2017-01-01,1069988.94
2017-04-01,1259976.42
2017-07-01,257752.03
2017-10-01,-473855.63
2018-01-01,-1672812.51
2018-04-01,-2889580.09
2018-07-01,-3377819.51
2018-10-01,-3303968.17
2019-01-01,-4887071.04
2019-04-01,-5499937.3
2019-07-01,-3257870.89
2019-10-01,1562082.7
2020-01-01,-653982.57
2020-04-01,2354645.68
2020-07-01,9131144.3
2020-10-01,2740617.17
2021-01-01,-2830868.19
2021-04-01,-6326265.79
2021-07-01,-8068632.71
2021-10-01,8917895.31
2022-01-01,4177533.43
2022-04-01,-13386109.49
2022-07-01,-17453811.98
2022-10-01,30835130.63
2023-01-01,36937398.52
2023-04-01,43559081.97
2023-07-01,77970429.9
2023-10-01,8831851.09
2024-01-01,12603982.36
2024-04-01,31118823.4
2024-07-01,4904106.45
2024-10-01,63040575.46
2025-01-01,43680377.59
2025-04-01,48509193.67
