Tarih,TP_FINHESTNKS2_ZP7
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,
2009-04-01,
2009-07-01,
2009-10-01,
2010-01-01,
2010-04-01,
2010-07-01,
2010-10-01,65781577.32
2011-01-01,
2011-04-01,
2011-07-01,
2011-10-01,66861909.72
2012-01-01,
2012-04-01,
2012-07-01,
2012-10-01,67285119.42
2013-01-01,
2013-04-01,
2013-07-01,
2013-10-01,66127035.78
2014-01-01,
2014-04-01,
2014-07-01,
2014-10-01,73985596.18
2015-01-01,81974461.06
2015-04-01,96594977.95
2015-07-01,121201870.96
2015-10-01,88537306.71
2016-01-01,91871366.2
2016-04-01,90955493.2
2016-07-01,95532156.85
2016-10-01,108862018.35
2017-01-01,115359561.96
2017-04-01,109605810.34
2017-07-01,106653761.72
2017-10-01,114329065.81
2018-01-01,119939119.04
2018-04-01,143841484.73
2018-07-01,212769158.0
2018-10-01,180710145.19
2019-01-01,232798095.38
2019-04-01,232486814.52
2019-07-01,233714821.21
2019-10-01,241492933.66
2020-01-01,264261712.24
2020-04-01,281729940.83
2020-07-01,317829625.59
2020-10-01,306741684.63
2021-01-01,387725884.79
2021-04-01,400451239.09
2021-07-01,402168824.27
2021-10-01,599225815.23
2022-01-01,685395037.16
2022-04-01,792931993.46
2022-07-01,918511917.35
2022-10-01,757596405.12
2023-01-01,840392739.72
2023-04-01,1084731848.7
2023-07-01,1165376332.81
2023-10-01,1312598087.83
2024-01-01,1586105353.56
2024-04-01,1719904773.63
2024-07-01,1878885608.03
2024-10-01,1748986805.29
2025-01-01,2141480743.59
2025-04-01,2252565990.59
