Tarih,TP_FDVY34
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,209.0
2003-01-01,216.0
2003-02-01,216.0
2003-03-01,211.0
2003-04-01,212.0
2003-05-01,221.0
2003-06-01,215.0
2003-07-01,211.0
2003-08-01,209.0
2003-09-01,229.0
2003-10-01,233.0
2003-11-01,235.0
2003-12-01,245.0
2004-01-01,244.0
2004-02-01,241.0
2004-03-01,242.0
2004-04-01,235.0
2004-05-01,252.0
2004-06-01,252.0
2004-07-01,254.0
2004-08-01,260.0
2004-09-01,273.0
2004-10-01,273.0
2004-11-01,286.0
2004-12-01,294.0
2005-01-01,280.0
2005-02-01,294.0
2005-03-01,292.0
2005-04-01,305.0
2005-05-01,300.0
2005-06-01,294.0
2005-07-01,298.0
2005-08-01,299.0
2005-09-01,315.0
2005-10-01,318.0
2005-11-01,309.0
2005-12-01,318.0
2006-01-01,333.0
2006-02-01,334.0
2006-03-01,348.0
2006-04-01,352.0
2006-05-01,350.0
2006-06-01,345.0
2006-07-01,349.0
2006-08-01,356.0
2006-09-01,347.0
2006-10-01,345.0
2006-11-01,347.0
2006-12-01,331.0
2007-01-01,344.0
2007-02-01,314.0
2007-03-01,295.0
2007-04-01,302.0
2007-05-01,302.0
2007-06-01,303.0
2007-07-01,344.0
2007-08-01,352.0
2007-09-01,367.0
2007-10-01,367.0
2007-11-01,368.0
2007-12-01,371.0
2008-01-01,366.0
2008-02-01,371.0
2008-03-01,373.0
2008-04-01,402.0
2008-05-01,405.0
2008-06-01,428.0
2008-07-01,497.0
2008-08-01,542.0
2008-09-01,542.0
2008-10-01,539.0
2008-11-01,535.0
2008-12-01,530.0
2009-01-01,495.0
2009-02-01,493.0
2009-03-01,496.0
2009-04-01,491.0
2009-05-01,472.0
2009-06-01,444.0
2009-07-01,435.0
2009-08-01,383.0
2009-09-01,382.0
2009-10-01,411.0
2009-11-01,432.0
2009-12-01,478.0
2010-01-01,463.0
2010-02-01,458.0
2010-03-01,464.0
2010-04-01,502.0
2010-05-01,459.0
2010-06-01,476.0
2010-07-01,507.0
2010-08-01,497.0
2010-09-01,504.0
2010-10-01,519.0
2010-11-01,555.0
2010-12-01,557.0
2011-01-01,564.0
2011-02-01,514.0
2011-03-01,481.0
2011-04-01,475.0
2011-05-01,471.0
2011-06-01,455.0
2011-07-01,236.0
2011-08-01,238.0
2011-09-01,236.0
2011-10-01,239.0
2011-11-01,236.0
2011-12-01,238.0
2012-01-01,250.0
2012-02-01,274.0
2012-03-01,304.0
2012-04-01,304.0
2012-05-01,304.0
2012-06-01,307.0
2012-07-01,322.0
2012-08-01,323.0
2012-09-01,328.0
2012-10-01,328.0
2012-11-01,341.0
2012-12-01,346.0
2013-01-01,372.0
2013-02-01,369.0
2013-03-01,360.0
2013-04-01,354.0
2013-05-01,333.0
2013-06-01,313.0
2013-07-01,293.0
2013-08-01,288.0
2013-09-01,277.0
2013-10-01,285.0
2013-11-01,277.0
2013-12-01,259.0
2014-01-01,264.0
2014-02-01,256.0
2014-03-01,250.0
2014-04-01,252.0
