Tarih,TP_FG_J127
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,94.72
2003-02-01,94.89
2003-03-01,100.44
2003-04-01,100.61
2003-05-01,100.63
2003-06-01,100.66
2003-07-01,100.81
2003-08-01,100.89
2003-09-01,101.43
2003-10-01,101.57
2003-11-01,101.64
2003-12-01,101.7
2004-01-01,123.11
2004-02-01,123.27
2004-03-01,128.2
2004-04-01,128.21
2004-05-01,128.27
2004-06-01,128.38
2004-07-01,128.4
2004-08-01,128.43
2004-09-01,128.65
2004-10-01,128.77
2004-11-01,128.82
2004-12-01,129.12
2005-01-01,139.75
2005-02-01,139.88
2005-03-01,142.35
2005-04-01,144.01
2005-05-01,144.0
2005-06-01,144.01
2005-07-01,144.05
2005-08-01,144.08
2005-09-01,144.15
2005-10-01,144.23
2005-11-01,144.25
2005-12-01,144.23
2006-01-01,154.49
2006-02-01,154.49
2006-03-01,159.5
2006-04-01,159.64
2006-05-01,159.64
2006-06-01,159.62
2006-07-01,160.14
2006-08-01,160.28
2006-09-01,160.4
2006-10-01,160.5
2006-11-01,160.51
2006-12-01,160.54
2007-01-01,168.8
2007-02-01,168.8
2007-03-01,173.09
2007-04-01,173.22
2007-05-01,173.21
2007-06-01,173.31
2007-07-01,173.34
2007-08-01,173.36
2007-09-01,173.37
2007-10-01,173.4
2007-11-01,173.42
2007-12-01,173.42
2008-01-01,182.14
2008-02-01,182.14
2008-03-01,186.65
2008-04-01,186.77
2008-05-01,186.85
2008-06-01,186.92
2008-07-01,186.92
2008-08-01,186.93
2008-09-01,187.12
2008-10-01,187.24
2008-11-01,187.61
2008-12-01,187.72
2009-01-01,202.63
2009-02-01,202.68
2009-03-01,207.95
2009-04-01,207.97
2009-05-01,208.09
2009-06-01,208.1
2009-07-01,223.52
2009-08-01,238.9
2009-09-01,238.96
2009-10-01,238.99
2009-11-01,239.01
2009-12-01,239.07
2010-01-01,252.24
2010-02-01,252.21
2010-03-01,254.16
2010-04-01,254.16
2010-05-01,254.19
2010-06-01,233.59
2010-07-01,212.98
2010-08-01,213.14
2010-09-01,213.3
2010-10-01,213.34
2010-11-01,213.39
2010-12-01,213.48
2011-01-01,228.2
2011-02-01,228.22
2011-03-01,229.32
2011-04-01,229.34
2011-05-01,229.39
2011-06-01,229.35
2011-07-01,229.37
2011-08-01,229.4
2011-09-01,230.46
2011-10-01,230.45
2011-11-01,230.53
2011-12-01,230.73
2012-01-01,258.82
2012-02-01,258.81
2012-03-01,260.23
2012-04-01,260.28
2012-05-01,260.42
2012-06-01,260.59
2012-07-01,260.71
2012-08-01,260.8
2012-09-01,260.99
2012-10-01,261.09
2012-11-01,261.2
2012-12-01,261.24
2013-01-01,292.3
2013-02-01,292.61
2013-03-01,293.73
2013-04-01,293.77
2013-05-01,293.72
2013-06-01,293.76
2013-07-01,293.84
2013-08-01,293.93
2013-09-01,294.18
2013-10-01,294.33
2013-11-01,294.36
2013-12-01,294.51
2014-01-01,311.52
2014-02-01,312.0
2014-03-01,313.64
2014-04-01,313.84
2014-05-01,313.87
