Tarih,TP_UFEYD14
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,97.06
2010-02-01,95.71
2010-03-01,100.95
2010-04-01,102.69
2010-05-01,100.95
2010-06-01,97.66
2010-07-01,98.3
2010-08-01,97.3
2010-09-01,97.14
2010-10-01,98.64
2010-11-01,101.78
2010-12-01,111.83
2011-01-01,119.74
2011-02-01,128.02
2011-03-01,140.6
2011-04-01,141.81
2011-05-01,141.82
2011-06-01,142.67
2011-07-01,147.85
2011-08-01,154.91
2011-09-01,158.6
2011-10-01,158.88
2011-11-01,158.64
2011-12-01,158.56
2012-01-01,163.42
2012-02-01,162.44
2012-03-01,170.28
2012-04-01,169.74
2012-05-01,164.62
2012-06-01,156.65
2012-07-01,161.46
2012-08-01,169.5
2012-09-01,172.57
2012-10-01,167.68
2012-11-01,159.66
2012-12-01,159.69
2013-01-01,163.06
2013-02-01,170.57
2013-03-01,163.69
2013-04-01,154.97
2013-05-01,156.22
2013-06-01,163.66
2013-07-01,166.69
2013-08-01,174.91
2013-09-01,177.13
2013-10-01,170.51
2013-11-01,176.17
2013-12-01,185.06
2014-01-01,195.36
2014-02-01,196.14
2014-03-01,194.67
2014-04-01,189.37
2014-05-01,185.64
2014-06-01,187.17
2014-07-01,187.69
2014-08-01,186.48
2014-09-01,183.97
2014-10-01,178.75
2014-11-01,166.09
2014-12-01,146.12
2015-01-01,131.78
2015-02-01,153.86
2015-03-01,160.95
2015-04-01,167.74
2015-05-01,174.77
2015-06-01,177.58
2015-07-01,154.29
2015-08-01,148.88
2015-09-01,154.85
2015-10-01,149.32
2015-11-01,143.36
2015-12-01,127.74
2016-01-01,115.87
2016-02-01,110.97
2016-03-01,128.35
