Tarih,TP_UFEYD23
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,100.9
2010-02-01,100.9
2010-03-01,101.46
2010-04-01,100.73
2010-05-01,99.59
2010-06-01,100.3
2010-07-01,100.42
2010-08-01,100.11
2010-09-01,99.86
2010-10-01,98.46
2010-11-01,98.27
2010-12-01,99.0
2011-01-01,100.73
2011-02-01,102.87
2011-03-01,104.61
2011-04-01,102.1
2011-05-01,102.6
2011-06-01,104.18
2011-07-01,105.68
2011-08-01,108.2
2011-09-01,110.08
2011-10-01,110.68
2011-11-01,109.95
2011-12-01,109.64
2012-01-01,110.58
2012-02-01,108.13
2012-03-01,108.95
2012-04-01,108.97
2012-05-01,108.65
2012-06-01,108.32
2012-07-01,105.6
2012-08-01,106.51
2012-09-01,108.86
2012-10-01,110.19
2012-11-01,109.23
2012-12-01,109.85
2013-01-01,111.22
2013-02-01,111.28
2013-03-01,113.06
2013-04-01,111.55
2013-05-01,112.93
2013-06-01,118.28
2013-07-01,120.65
2013-08-01,123.12
2013-09-01,127.17
2013-10-01,126.38
2013-11-01,127.6
2013-12-01,131.48
2014-01-01,140.28
2014-02-01,139.02
2014-03-01,139.63
2014-04-01,136.74
2014-05-01,133.19
2014-06-01,133.58
2014-07-01,133.12
2014-08-01,133.62
2014-09-01,132.96
2014-10-01,133.16
2014-11-01,130.28
2014-12-01,132.88
2015-01-01,129.4
2015-02-01,132.91
2015-03-01,133.8
2015-04-01,135.52
2015-05-01,138.1
2015-06-01,140.87
2015-07-01,139.85
2015-08-01,147.25
2015-09-01,155.46
2015-10-01,152.2
2015-11-01,145.68
2015-12-01,148.37
2016-01-01,152.19
2016-02-01,151.77
2016-03-01,150.8
