Tarih,TP_TUFE1YI_T69
2000-01-01,37.5174801945
2000-02-01,37.7483897876
2000-03-01,38.4482234775
2000-04-01,38.9686581757
2000-05-01,39.3398897523
2000-06-01,39.208448907
2000-07-01,39.1373998015
2000-08-01,39.2883791508
2000-09-01,39.3914003539
2000-10-01,39.9988702065
2000-11-01,40.6187736525
2000-12-01,41.1871664971
2001-01-01,42.4305258445
2001-02-01,42.9651703639
2001-03-01,50.3862494403
2001-04-01,58.0861962561
2001-05-01,63.6635510431
2001-06-01,66.4024940627
2001-07-01,68.7826390992
2001-08-01,71.294224981
2001-09-01,74.4576864064
2001-10-01,78.3458487085
2001-11-01,83.6514406667
2001-12-01,85.2411644038
2002-01-01,86.0422430691
2002-02-01,86.1168446299
2002-03-01,89.3815510307
2002-04-01,89.7350203309
2002-05-01,89.9446151923
2002-06-01,91.1542262146
2002-07-01,92.6551385697
2002-08-01,95.4082914104
2002-09-01,96.0885865962
2002-10-01,96.532643506
2002-11-01,96.3514682868
2002-12-01,96.2448946285
2003-01-01,97.6836390162
2003-02-01,96.7697404605
2003-03-01,96.9824481069
2003-04-01,95.2350899901
2003-05-01,94.9603915107
2003-06-01,95.4099851089
2003-07-01,100.4922532438
2003-08-01,102.5963836912
2003-09-01,103.6961365314
2003-10-01,104.0812899625
2003-11-01,105.3746141499
2003-12-01,106.7180282273
2004-01-01,114.3769068957
2004-02-01,119.8994034444
2004-03-01,120.2615066003
2004-04-01,121.1309313816
2004-05-01,123.4291349263
2004-06-01,125.0180140573
2004-07-01,138.6114850268
2004-08-01,131.604317986
2004-09-01,141.3892261863
2004-10-01,146.6249868672
2004-11-01,147.2905765609
2004-12-01,148.6838187792
2005-01-01,156.0
2005-02-01,157.15
2005-03-01,158.35
2005-04-01,159.62
2005-05-01,161.03
2005-06-01,162.3
2005-07-01,163.96
2005-08-01,166.24
2005-09-01,168.47
2005-10-01,170.59
2005-11-01,170.75
2005-12-01,170.73
2006-01-01,171.02
2006-02-01,172.3
2006-03-01,174.4
2006-04-01,176.2
2006-05-01,178.2
2006-06-01,182.16
2006-07-01,183.72
2006-08-01,184.05
2006-09-01,185.69
2006-10-01,187.76
2006-11-01,186.87
2006-12-01,188.27
2007-01-01,188.44
2007-02-01,190.95
2007-03-01,192.01
2007-04-01,192.34
2007-05-01,193.01
2007-06-01,194.3
2007-07-01,194.27
2007-08-01,194.29
2007-09-01,192.48
2007-10-01,192.39
2007-11-01,190.84
2007-12-01,190.06
2008-01-01,190.43
2008-02-01,190.35
2008-03-01,190.58
2008-04-01,190.58
2008-05-01,192.87
2008-06-01,195.01
2008-07-01,194.97
2008-08-01,192.59
2008-09-01,188.29
2008-10-01,187.69
2008-11-01,188.63
2008-12-01,189.64
2009-01-01,178.3
2009-02-01,178.24
2009-03-01,175.93
2009-04-01,176.08
2009-05-01,176.23
2009-06-01,176.23
2009-07-01,179.8
2009-08-01,180.8
2009-09-01,182.86
2009-10-01,182.68
2009-11-01,182.45
2009-12-01,181.79
2010-01-01,180.98
2010-02-01,180.79
2010-03-01,181.9
2010-04-01,184.28
2010-05-01,186.19
2010-06-01,187.75
2010-07-01,189.21
2010-08-01,190.37
2010-09-01,191.35
2010-10-01,192.94
2010-11-01,193.17
2010-12-01,193.32
2011-01-01,195.3
2011-02-01,196.07
2011-03-01,197.95
2011-04-01,198.26
2011-05-01,198.67
2011-06-01,199.67
2011-07-01,200.91
2011-08-01,202.49
2011-09-01,202.36
2011-10-01,202.57
2011-11-01,203.48
2011-12-01,203.14
2012-01-01,202.76
2012-02-01,201.42
2012-03-01,201.69
2012-04-01,207.11
2012-05-01,208.77
2012-06-01,209.46
2012-07-01,208.22
2012-08-01,208.25
2012-09-01,205.98
2012-10-01,206.02
2012-11-01,205.59
2012-12-01,206.07
2013-01-01,205.69
2013-02-01,207.0
2013-03-01,207.69
2013-04-01,211.73
2013-05-01,212.89
2013-06-01,215.34
2013-07-01,216.42
2013-08-01,219.06
2013-09-01,223.91
2013-10-01,226.78
2013-11-01,227.84
2013-12-01,227.39
2014-01-01,230.71
2014-02-01,239.1
2014-03-01,249.14
2014-04-01,256.57
2014-05-01,258.77
2014-06-01,261.48
2014-07-01,263.63
2014-08-01,267.82
2014-09-01,270.53
2014-10-01,275.54
2014-11-01,275.58
2014-12-01,277.7
2015-01-01,280.4
2015-02-01,281.28
2015-03-01,284.21
2015-04-01,284.99
2015-05-01,287.76
2015-06-01,286.49
2015-07-01,284.97
2015-08-01,283.56
2015-09-01,279.7
2015-10-01,280.65
2015-11-01,282.58
2015-12-01,280.16
2016-01-01,278.12
2016-02-01,278.22
2016-03-01,281.9
2016-04-01,282.0
2016-05-01,281.77
2016-06-01,280.99
2016-07-01,281.13
2016-08-01,278.2
2016-09-01,274.97
2016-10-01,273.04
2016-11-01,272.22
2016-12-01,272.75
2017-01-01,269.3
2017-02-01,275.24
2017-03-01,284.51
2017-04-01,288.94
2017-05-01,291.53
2017-06-01,292.45
2017-07-01,298.71
2017-08-01,298.13
2017-09-01,300.46
2017-10-01,307.01
2017-11-01,311.23
2017-12-01,315.36
2018-01-01,333.85
2018-02-01,339.31
2018-03-01,344.23
2018-04-01,357.29
2018-05-01,364.25
2018-06-01,367.92
2018-07-01,366.65
2018-08-01,373.85
2018-09-01,382.61
2018-10-01,389.37
2018-11-01,394.86
2018-12-01,391.68
2019-01-01,392.84
2019-02-01,390.9
2019-03-01,389.19
2019-04-01,390.54
2019-05-01,397.76
2019-06-01,400.05
2019-07-01,397.81
2019-08-01,397.66
2019-09-01,404.66
2019-10-01,403.67
2019-11-01,407.52
2019-12-01,404.52
2020-01-01,402.53
2020-02-01,398.69
2020-03-01,395.87
2020-04-01,394.39
2020-05-01,392.97
2020-06-01,395.83
2020-07-01,402.47
2020-08-01,409.78
2020-09-01,421.5
2020-10-01,437.17
2020-11-01,461.93
2020-12-01,491.9
2021-01-01,520.48
2021-02-01,540.36
2021-03-01,561.1
2021-04-01,574.49
2021-05-01,586.79
2021-06-01,611.73
2021-07-01,626.67
2021-08-01,662.46
2021-09-01,670.96
2021-10-01,666.02
2021-11-01,707.51
2021-12-01,856.84
2022-01-01,1047.63
2022-02-01,1161.78
2022-03-01,1415.13
2022-04-01,1645.55
2022-05-01,1748.87
2022-06-01,1875.86
2022-07-01,2038.42
2022-08-01,2161.21
2022-09-01,2259.38
2022-10-01,2394.88
2022-11-01,2431.88
2022-12-01,2465.22
2023-01-01,2713.79
2023-02-01,2784.86
2023-03-01,2850.43
2023-04-01,2866.83
2023-05-01,2855.87
2023-06-01,2861.29
2023-07-01,3038.55
2023-08-01,3160.17
2023-09-01,3237.77
2023-10-01,3341.72
2023-11-01,3369.02
2023-12-01,3365.57
2024-01-01,3414.86
2024-02-01,3472.89
2024-03-01,3574.15
2024-04-01,4022.12
2024-05-01,4200.95
2024-06-01,4220.76
2024-07-01,4378.68
2024-08-01,4412.45
2024-09-01,4346.28
2024-10-01,4395.33
2024-11-01,4406.19
2024-12-01,4511.85
2025-01-01,4522.73
2025-02-01,4628.65
2025-03-01,4647.8
2025-04-01,4619.65
2025-05-01,4720.34
2025-06-01,4848.24
2025-07-01,4879.59
2025-08-01,4979.79
2025-09-01,5022.35
