Tarih,TP_TUFE1YI_T75
2000-01-01,25.172510018
2000-02-01,25.9954130085
2000-03-01,26.940056329
2000-04-01,27.9340121883
2000-05-01,29.3733219133
2000-06-01,30.2578655772
2000-07-01,30.814172655
2000-08-01,31.3365773625
2000-09-01,31.9267868107
2000-10-01,32.4985040569
2000-11-01,31.1424092411
2000-12-01,30.9605692545
2001-01-01,30.7525319816
2001-02-01,32.657228791
2001-03-01,39.0447435767
2001-04-01,48.2538601894
2001-05-01,47.9425747885
2001-06-01,49.9659298943
2001-07-01,53.6397140317
2001-08-01,57.905248634
2001-09-01,60.5927819962
2001-10-01,64.9738928613
2001-11-01,63.6840617695
2001-12-01,61.93038461
2002-01-01,58.4523096109
2002-02-01,57.1008378456
2002-03-01,58.8976634765
2002-04-01,58.4107021563
2002-05-01,64.0292495408
2002-06-01,72.3784787589
2002-07-01,80.9357452499
2002-08-01,81.1915540447
2002-09-01,83.4275694739
2002-10-01,85.3214791655
2002-11-01,88.2817725077
2002-12-01,91.1295716208
2003-01-01,101.7086522008
2003-02-01,101.8538716857
2003-03-01,102.3114487755
2003-04-01,100.4959969644
2003-05-01,101.5602913239
2003-06-01,99.9508299255
2003-07-01,102.7600482914
2003-08-01,98.8157741622
2003-09-01,98.4888451114
2003-10-01,98.0319701277
2003-11-01,99.2380313595
2003-12-01,94.7842400714
2004-01-01,93.9184318825
2004-02-01,94.1072864286
2004-03-01,107.2142569705
2004-04-01,110.3174701229
2004-05-01,110.8982968434
2004-06-01,110.6657070242
2004-07-01,111.0023142774
2004-08-01,112.3513271539
2004-09-01,113.6992826207
2004-10-01,117.185686693
2004-11-01,117.1176612766
2004-12-01,115.8238087301
2005-01-01,115.55
2005-02-01,122.63
2005-03-01,122.22
2005-04-01,122.93
2005-05-01,122.17
2005-06-01,122.01
2005-07-01,116.12
2005-08-01,107.85
2005-09-01,107.93
2005-10-01,107.94
2005-11-01,107.93
2005-12-01,108.66
2006-01-01,108.65
2006-02-01,108.43
2006-03-01,108.7
2006-04-01,109.27
2006-05-01,113.75
2006-06-01,120.64
2006-07-01,128.05
2006-08-01,128.33
2006-09-01,128.31
2006-10-01,128.71
2006-11-01,127.98
2006-12-01,127.9
2007-01-01,127.93
2007-02-01,128.0
2007-03-01,129.51
2007-04-01,129.77
2007-05-01,129.83
2007-06-01,129.9
2007-07-01,131.26
2007-08-01,131.28
2007-09-01,131.28
2007-10-01,131.47
2007-11-01,131.44
2007-12-01,131.47
2008-01-01,131.54
2008-02-01,135.24
2008-03-01,140.34
2008-04-01,144.69
2008-05-01,147.65
2008-06-01,172.55
2008-07-01,203.9
2008-08-01,203.68
2008-09-01,205.98
2008-10-01,198.24
2008-11-01,192.52
2008-12-01,192.32
2009-01-01,192.48
2009-02-01,202.74
2009-03-01,193.41
2009-04-01,179.89
2009-05-01,175.82
2009-06-01,171.6
2009-07-01,175.16
2009-08-01,180.43
2009-09-01,180.58
2009-10-01,181.14
2009-11-01,181.14
2009-12-01,176.83
2010-01-01,179.23
2010-02-01,180.06
2010-03-01,180.58
2010-04-01,183.67
2010-05-01,179.2
2010-06-01,181.99
2010-07-01,181.69
2010-08-01,185.46
2010-09-01,185.43
2010-10-01,180.23
2010-11-01,180.63
2010-12-01,182.13
2011-01-01,196.69
2011-02-01,198.35
2011-03-01,200.19
2011-04-01,199.7
2011-05-01,201.3
2011-06-01,202.16
2011-07-01,208.72
2011-08-01,210.97
2011-09-01,219.07
2011-10-01,219.73
2011-11-01,204.91
2011-12-01,199.55
2012-01-01,199.32
2012-02-01,198.04
2012-03-01,201.45
2012-04-01,200.18
2012-05-01,201.7
2012-06-01,200.02
2012-07-01,196.03
2012-08-01,195.92
2012-09-01,194.84
2012-10-01,194.83
2012-11-01,196.1
2012-12-01,194.89
2013-01-01,197.6
2013-02-01,197.46
2013-03-01,197.58
2013-04-01,196.71
2013-05-01,196.72
2013-06-01,199.36
2013-07-01,200.53
2013-08-01,201.87
2013-09-01,203.94
2013-10-01,202.46
2013-11-01,203.97
2013-12-01,206.33
2014-01-01,213.58
2014-02-01,213.12
2014-03-01,211.92
2014-04-01,211.84
2014-05-01,212.84
2014-06-01,225.14
2014-07-01,225.88
2014-08-01,225.96
2014-09-01,228.56
2014-10-01,230.51
2014-11-01,233.16
2014-12-01,233.11
2015-01-01,232.88
2015-02-01,233.29
2015-03-01,236.25
2015-04-01,241.53
2015-05-01,243.3
2015-06-01,245.64
2015-07-01,243.06
2015-08-01,242.47
2015-09-01,245.38
2015-10-01,241.16
2015-11-01,239.8
2015-12-01,236.97
2016-01-01,236.47
2016-02-01,235.29
2016-03-01,239.77
2016-04-01,244.57
2016-05-01,267.06
2016-06-01,263.35
2016-07-01,246.13
2016-08-01,245.77
2016-09-01,245.13
2016-10-01,247.73
2016-11-01,254.24
2016-12-01,299.93
2017-01-01,317.96
2017-02-01,316.1
2017-03-01,317.81
2017-04-01,317.19
2017-05-01,315.65
2017-06-01,315.62
2017-07-01,317.95
2017-08-01,337.25
2017-09-01,344.35
2017-10-01,349.04
2017-11-01,356.3
2017-12-01,369.99
2018-01-01,372.58
2018-02-01,374.78
2018-03-01,382.4
2018-04-01,386.84
2018-05-01,393.36
2018-06-01,417.5
2018-07-01,463.13
2018-08-01,497.25
2018-09-01,592.8
2018-10-01,570.1
2018-11-01,557.83
2018-12-01,546.45
2019-01-01,544.33
2019-02-01,558.58
2019-03-01,564.74
2019-04-01,575.37
2019-05-01,583.31
2019-06-01,583.41
2019-07-01,574.26
2019-08-01,571.28
2019-09-01,562.3
2019-10-01,550.76
2019-11-01,520.9
2019-12-01,531.94
2020-01-01,542.96
2020-02-01,544.27
2020-03-01,548.64
2020-04-01,551.06
2020-05-01,548.54
2020-06-01,546.27
2020-07-01,551.74
2020-08-01,626.8
2020-09-01,642.72
2020-10-01,669.68
2020-11-01,686.83
2020-12-01,785.93
2021-01-01,865.13
2021-02-01,868.88
2021-03-01,901.64
2021-04-01,945.57
2021-05-01,1063.67
2021-06-01,1100.58
2021-07-01,1116.28
2021-08-01,1104.52
2021-09-01,1086.67
2021-10-01,1095.59
2021-11-01,1223.74
2021-12-01,1656.06
2022-01-01,1713.08
2022-02-01,1773.7
2022-03-01,2131.03
2022-04-01,2312.3
2022-05-01,2406.27
2022-06-01,2344.47
2022-07-01,2264.4
2022-08-01,2228.68
2022-09-01,2208.29
2022-10-01,2261.42
2022-11-01,2266.06
2022-12-01,2267.26
2023-01-01,2358.6
2023-02-01,2416.48
2023-03-01,2510.83
2023-04-01,2673.41
2023-05-01,2635.84
2023-06-01,2710.49
2023-07-01,2839.44
2023-08-01,2918.77
2023-09-01,2980.28
2023-10-01,3025.38
2023-11-01,3074.78
2023-12-01,3153.16
2024-01-01,3454.6
2024-02-01,3922.78
2024-03-01,3964.18
2024-04-01,3962.83
2024-05-01,3914.14
2024-06-01,3873.54
2024-07-01,3853.73
2024-08-01,3831.46
2024-09-01,3792.49
2024-10-01,3840.2
2024-11-01,3936.5
2024-12-01,3913.36
2025-01-01,3888.27
2025-02-01,3855.56
2025-03-01,3894.06
2025-04-01,4002.18
2025-05-01,4048.85
2025-06-01,4052.63
2025-07-01,4081.49
2025-08-01,4135.07
2025-09-01,4199.62
