Tarih,TP_TUFE1YI_T76
2000-01-01,25.9015390975
2000-02-01,26.7482744436
2000-03-01,27.7202758802
2000-04-01,28.7430180117
2000-05-01,30.224012044
2000-06-01,31.1341732587
2000-07-01,31.7065917229
2000-08-01,32.2441259595
2000-09-01,32.8514286515
2000-10-01,33.439703583
2000-11-01,32.0443344733
2000-12-01,31.8572281609
2001-01-01,31.6431658543
2001-02-01,33.6030251947
2001-03-01,40.1755308304
2001-04-01,49.6513556022
2001-05-01,49.3310549657
2001-06-01,51.4130091031
2001-07-01,55.1931908728
2001-08-01,59.5822609813
2001-09-01,62.3476288531
2001-10-01,66.8556224653
2001-11-01,65.5284361644
2001-12-01,63.7239702022
2002-01-01,60.1451655653
2002-02-01,58.7545533958
2002-03-01,60.6034174661
2002-04-01,60.102353104
2002-05-01,65.8836210287
2002-06-01,74.4746549332
2002-07-01,83.2797511444
2002-08-01,83.5429684991
2002-09-01,85.8437418833
2002-10-01,87.7925016967
2002-11-01,90.8385290371
2002-12-01,93.7688041673
2003-01-01,104.6542688692
2003-02-01,105.8033086995
2003-03-01,106.7612206406
2003-04-01,104.0102904877
2003-05-01,95.9904054012
2003-06-01,91.1836775221
2003-07-01,94.0380767114
2003-08-01,94.4353159599
2003-09-01,94.7568966587
2003-10-01,97.1605449117
2003-11-01,101.8933294721
2003-12-01,109.3126646653
2004-01-01,118.6402266274
2004-02-01,124.9978506176
2004-03-01,126.6351269357
2004-04-01,129.8889929373
2004-05-01,138.9823033342
2004-06-01,137.1888385634
2004-07-01,142.4021395039
2004-08-01,152.1614908049
2004-09-01,154.6356906985
2004-10-01,155.1330096353
2004-11-01,152.5800325117
2004-12-01,145.8377114071
2005-01-01,151.3
2005-02-01,137.53
2005-03-01,145.86
2005-04-01,148.28
2005-05-01,142.09
2005-06-01,134.03
2005-07-01,138.56
2005-08-01,140.47
2005-09-01,141.58
2005-10-01,128.54
2005-11-01,126.18
2005-12-01,122.8
2006-01-01,128.18
2006-02-01,125.07
2006-03-01,128.43
2006-04-01,146.69
2006-05-01,152.23
2006-06-01,181.36
2006-07-01,173.99
2006-08-01,169.06
2006-09-01,185.48
2006-10-01,172.77
2006-11-01,169.65
2006-12-01,165.66
2007-01-01,166.75
2007-02-01,177.05
2007-03-01,190.44
2007-04-01,190.6
2007-05-01,185.87
2007-06-01,184.72
2007-07-01,184.17
2007-08-01,181.18
2007-09-01,181.97
2007-10-01,175.58
2007-11-01,173.33
2007-12-01,174.66
2008-01-01,174.7
2008-02-01,167.21
2008-03-01,191.13
2008-04-01,207.14
2008-05-01,198.2
2008-06-01,199.1
2008-07-01,199.83
2008-08-01,185.38
2008-09-01,162.34
