Tarih,TP_TUFE1YI_T77
2000-01-01,38.1428735127
2000-02-01,40.0419701686
2000-03-01,39.8636977316
2000-04-01,39.6804732824
2000-05-01,41.1338888456
2000-06-01,40.9259043357
2000-07-01,42.6739646213
2000-08-01,43.9070156443
2000-09-01,46.9153630197
2000-10-01,47.806725205
2000-11-01,46.9525031108
2000-12-01,47.8438652961
2001-01-01,47.4798924038
2001-02-01,48.3266864798
2001-03-01,62.2591726373
2001-04-01,73.978109368
2001-05-01,74.0969576593
2001-06-01,75.3102006338
2001-07-01,80.7400819459
2001-08-01,81.4333636456
2001-09-01,85.0310004657
2001-10-01,89.7923601389
2001-11-01,89.2129747184
2001-12-01,89.8344522421
2002-01-01,87.7966992462
2002-02-01,86.8261048667
2002-03-01,88.281996436
2002-04-01,86.2838595373
2002-05-01,88.1532441204
2002-06-01,93.2216285462
2002-07-01,100.4812783443
2002-08-01,95.4401299852
2002-09-01,99.3126034791
2002-10-01,100.9046753823
2002-11-01,103.6678981568
2002-12-01,102.1278223811
2003-01-01,105.4085304242
2003-02-01,105.2046053278
2003-03-01,107.7053036861
2003-04-01,100.7123581207
2003-05-01,96.3384179204
2003-06-01,93.9551923326
2003-07-01,96.4411056622
2003-08-01,96.9935006251
2003-09-01,93.9923100055
2003-10-01,98.1536321892
2003-11-01,101.9249795618
2003-12-01,103.170064144
2004-01-01,127.7794296543
2004-02-01,132.3915480127
2004-03-01,139.0906871112
2004-04-01,143.3017348873
2004-05-01,150.3204294387
2004-06-01,146.6001031763
2004-07-01,146.1444249523
2004-08-01,151.8375185664
2004-09-01,154.6867526116
2004-10-01,161.818432889
2004-11-01,159.4278192496
2004-12-01,158.020026062
2005-01-01,155.33
2005-02-01,153.23
2005-03-01,154.92
2005-04-01,161.48
2005-05-01,158.31
2005-06-01,162.53
2005-07-01,161.72
2005-08-01,169.07
2005-09-01,170.36
2005-10-01,178.78
2005-11-01,186.77
2005-12-01,198.29
2006-01-01,202.08
2006-02-01,209.96
2006-03-01,212.08
2006-04-01,244.41
2006-05-01,312.39
2006-06-01,334.07
2006-07-01,342.01
2006-08-01,318.59
2006-09-01,320.07
2006-10-01,319.92
2006-11-01,306.22
2006-12-01,297.91
2007-01-01,268.76
2007-02-01,257.83
2007-03-01,274.68
2007-04-01,297.36
2007-05-01,306.15
2007-06-01,298.83
2007-07-01,295.64
2007-08-01,287.51
2007-09-01,280.47
2007-10-01,281.91
2007-11-01,258.91
2007-12-01,243.37
2008-01-01,249.0
2008-02-01,273.71
2008-03-01,301.71
2008-04-01,320.07
2008-05-01,305.59
2008-06-01,293.15
2008-07-01,300.42
2008-08-01,265.57
2008-09-01,259.19
2008-10-01,247.0
2008-11-01,221.48
2008-12-01,196.24
2009-01-01,191.72
2009-02-01,199.15
2009-03-01,215.38
2009-04-01,228.56
2009-05-01,229.59
2009-06-01,235.29
2009-07-01,235.21
2009-08-01,260.86
2009-09-01,264.98
2009-10-01,258.54
2009-11-01,277.35
2009-12-01,286.48
2010-01-01,302.9
2010-02-01,292.61
2010-03-01,312.28
2010-04-01,314.69
2010-05-01,301.24
2010-06-01,283.1
2010-07-01,291.82
2010-08-01,299.98
2010-09-01,309.68
2010-10-01,313.86
2010-11-01,321.87
2010-12-01,351.32
2011-01-01,376.9
2011-02-01,393.14
2011-03-01,383.83
2011-04-01,372.78
2011-05-01,367.93
2011-06-01,359.79
2011-07-01,397.79
2011-08-01,404.0
2011-09-01,397.75
2011-10-01,371.65
2011-11-01,370.03
2011-12-01,374.83
2012-01-01,383.0
2012-02-01,383.08
2012-03-01,388.98
2012-04-01,384.09
2012-05-01,376.28
2012-06-01,363.18
2012-07-01,361.96
2012-08-01,355.92
2012-09-01,373.94
2012-10-01,379.99
2012-11-01,364.49
2012-12-01,373.02
2013-01-01,374.69
2013-02-01,374.04
2013-03-01,369.81
2013-04-01,354.67
2013-05-01,354.76
2013-06-01,346.88
2013-07-01,364.25
2013-08-01,374.74
2013-09-01,384.97
2013-10-01,383.34
2013-11-01,384.31
2013-12-01,389.75
2014-01-01,421.8
2014-02-01,418.78
2014-03-01,407.64
2014-04-01,395.38
2014-05-01,394.01
2014-06-01,398.14
2014-07-01,409.68
2014-08-01,400.8
2014-09-01,421.25
2014-10-01,425.96
2014-11-01,424.94
2014-12-01,425.73
2015-01-01,408.88
2015-02-01,421.59
2015-03-01,445.93
2015-04-01,461.12
2015-05-01,472.02
2015-06-01,456.85
2015-07-01,442.89
2015-08-01,443.55
2015-09-01,467.75
2015-10-01,459.32
2015-11-01,430.86
2015-12-01,426.66
2016-01-01,434.69
2016-02-01,428.73
2016-03-01,439.86
2016-04-01,431.86
2016-05-01,436.55
2016-06-01,435.03
2016-07-01,448.4
2016-08-01,447.14
2016-09-01,430.76
2016-10-01,442.01
2016-11-01,498.63
2016-12-01,548.68
2017-01-01,593.64
2017-02-01,590.89
2017-03-01,592.33
2017-04-01,589.03
2017-05-01,573.27
2017-06-01,568.66
2017-07-01,580.14
2017-08-01,599.67
2017-09-01,607.1
2017-10-01,641.87
2017-11-01,682.54
2017-12-01,677.82
2018-01-01,699.19
2018-02-01,699.37
2018-03-01,698.4
2018-04-01,734.36
2018-05-01,789.57
2018-06-01,827.28
2018-07-01,817.2
2018-08-01,921.14
2018-09-01,1044.58
2018-10-01,990.48
2018-11-01,908.91
2018-12-01,893.91
2019-01-01,883.55
2019-02-01,881.39
2019-03-01,917.99
2019-04-01,954.82
2019-05-01,973.5
2019-06-01,941.6
2019-07-01,927.62
2019-08-01,906.86
2019-09-01,922.54
2019-10-01,927.95
2019-11-01,927.06
2019-12-01,946.16
2020-01-01,970.0
2020-02-01,960.37
2020-03-01,970.23
2020-04-01,1011.56
2020-05-01,1049.52
2020-06-01,1061.04
2020-07-01,1123.14
2020-08-01,1221.19
2020-09-01,1279.75
2020-10-01,1332.92
2020-11-01,1414.37
2020-12-01,1446.04
2021-01-01,1412.81
2021-02-01,1373.08
2021-03-01,1474.34
2021-04-01,1598.74
2021-05-01,1742.35
2021-06-01,1789.1
2021-07-01,1778.87
2021-08-01,1782.36
2021-09-01,1819.34
2021-10-01,2021.39
2021-11-01,2315.17
2021-12-01,2856.06
2022-01-01,3041.94
2022-02-01,3228.45
2022-03-01,3592.1
2022-04-01,3785.55
2022-05-01,3734.86
2022-06-01,3915.44
2022-07-01,3653.13
2022-08-01,3856.15
2022-09-01,3794.03
2022-10-01,3820.51
2022-11-01,3920.18
2022-12-01,4004.73
2023-01-01,4168.48
2023-02-01,4207.61
2023-03-01,4145.7
2023-04-01,4225.27
2023-05-01,4200.31
2023-06-01,4665.91
2023-07-01,5361.27
2023-08-01,5459.49
2023-09-01,5480.31
2023-10-01,5517.85
2023-11-01,5718.08
2023-12-01,5849.19
2024-01-01,6229.53
2024-02-01,6286.84
2024-03-01,6971.02
2024-04-01,7523.25
2024-05-01,7491.56
2024-06-01,7419.51
2024-07-01,7587.58
2024-08-01,7626.26
2024-09-01,8268.83
2024-10-01,8778.23
2024-11-01,8792.35
2024-12-01,8786.97
2025-01-01,8902.12
2025-02-01,9581.82
2025-03-01,9976.03
2025-04-01,10666.39
2025-05-01,11083.01
2025-06-01,11556.01
2025-07-01,11730.5
2025-08-01,11988.28
2025-09-01,12801.2
