Tarih,TP_TUFE1YI_T86
2000-01-01,34.5077570264
2000-02-01,34.9118851617
2000-03-01,35.2309336895
2000-04-01,36.6320884744
2000-05-01,37.5732816316
2000-06-01,38.0518544234
2000-07-01,38.8920155468
2000-08-01,39.6417795873
2000-09-01,40.8967037969
2000-10-01,41.7235712316
2000-11-01,42.6594469133
2000-12-01,43.5208779386
2001-01-01,44.8316356406
2001-02-01,46.1237821784
2001-03-01,52.6403483601
2001-04-01,56.2003981835
2001-05-01,60.2257271101
2001-06-01,64.0755793463
2001-07-01,65.8383224628
2001-08-01,69.837064012
2001-09-01,71.7513551792
2001-10-01,74.9577928843
2001-11-01,77.2416485963
2001-12-01,77.0661719059
2002-01-01,84.2527399961
2002-02-01,83.7289686629
2002-03-01,82.585711438
2002-04-01,83.2583720843
2002-05-01,85.316235089
2002-06-01,94.3639195917
2002-07-01,100.1546503725
2002-08-01,100.9655653808
2002-09-01,101.2500503182
2002-10-01,101.797750291
2002-11-01,102.2736643451
2002-12-01,104.6824807305
2003-01-01,105.1743472109
2003-02-01,104.845302567
2003-03-01,104.1310876139
2003-04-01,106.107332769
2003-05-01,101.2375232464
2003-06-01,100.0514511627
2003-07-01,96.6505589276
2003-08-01,95.9788394223
2003-09-01,94.5361179599
2003-10-01,96.2330636696
2003-11-01,98.2932383645
2003-12-01,96.7611370856
2004-01-01,92.2963494028
2004-02-01,89.8970659878
2004-03-01,88.5744588589
2004-04-01,89.1705961157
2004-05-01,92.5741743758
2004-06-01,92.7734806628
2004-07-01,92.600015973
2004-08-01,92.3854464117
2004-09-01,94.7744886625
2004-10-01,97.6081936244
2004-11-01,97.5285189659
2004-12-01,96.4099655163
2005-01-01,95.19
2005-02-01,94.29
2005-03-01,94.53
2005-04-01,94.68
2005-05-01,95.22
2005-06-01,93.65
2005-07-01,91.79
2005-08-01,92.04
2005-09-01,91.63
2005-10-01,91.52
2005-11-01,91.51
2005-12-01,91.4
2006-01-01,91.03
2006-02-01,90.41
2006-03-01,90.35
2006-04-01,91.36
2006-05-01,95.47
2006-06-01,102.42
2006-07-01,101.75
2006-08-01,98.4
2006-09-01,98.07
2006-10-01,98.12
2006-11-01,96.98
2006-12-01,96.96
2007-01-01,96.11
2007-02-01,93.6
2007-03-01,95.87
2007-04-01,93.42
2007-05-01,93.91
2007-06-01,91.65
2007-07-01,90.48
2007-08-01,91.07
2007-09-01,88.25
2007-10-01,85.16
2007-11-01,83.19
2007-12-01,81.39
2008-01-01,80.84
2008-02-01,80.06
2008-03-01,82.73
2008-04-01,85.97
2008-05-01,85.43
2008-06-01,82.25
2008-07-01,82.2
2008-08-01,78.94
2008-09-01,80.82
2008-10-01,87.09
2008-11-01,94.23
2008-12-01,95.11
2009-01-01,95.29
2009-02-01,98.85
2009-03-01,99.44
2009-04-01,98.27
2009-05-01,94.99
2009-06-01,94.01
2009-07-01,93.19
2009-08-01,91.21
2009-09-01,91.86
2009-10-01,91.87
2009-11-01,92.34
2009-12-01,92.21
2010-01-01,90.79
2010-02-01,91.2
2010-03-01,91.46
2010-04-01,91.84
2010-05-01,89.77
2010-06-01,92.66
2010-07-01,92.96
2010-08-01,89.73
2010-09-01,90.1
2010-10-01,86.3
2010-11-01,85.44
2010-12-01,87.73
2011-01-01,88.59
2011-02-01,91.44
2011-03-01,91.12
2011-04-01,88.61
2011-05-01,88.44
2011-06-01,91.16
2011-07-01,94.34
2011-08-01,96.62
2011-09-01,99.86
2011-10-01,102.39
2011-11-01,100.73
2011-12-01,104.28
2012-01-01,103.17
2012-02-01,100.12
2012-03-01,99.24
2012-04-01,99.89
2012-05-01,98.63
2012-06-01,100.54
2012-07-01,98.36
2012-08-01,98.06
2012-09-01,99.38
2012-10-01,96.83
2012-11-01,98.0
2012-12-01,98.23
2013-01-01,97.15
2013-02-01,97.03
2013-03-01,98.95
2013-04-01,99.21
2013-05-01,97.9
2013-06-01,100.95
2013-07-01,102.1
2013-08-01,103.07
2013-09-01,105.2
2013-10-01,107.16
2013-11-01,105.62
2013-12-01,107.13
2014-01-01,109.2
2014-02-01,111.09
2014-03-01,114.18
2014-04-01,113.49
2014-05-01,110.21
2014-06-01,109.97
2014-07-01,110.04
2014-08-01,110.42
2014-09-01,111.01
2014-10-01,113.66
2014-11-01,112.99
2014-12-01,111.85
2015-01-01,113.17
2015-02-01,113.43
2015-03-01,116.57
2015-04-01,117.17
2015-05-01,120.25
2015-06-01,119.03
2015-07-01,119.8
2015-08-01,120.46
2015-09-01,123.27
2015-10-01,125.72
2015-11-01,124.56
2015-12-01,122.84
2016-01-01,123.7
2016-02-01,123.97
2016-03-01,125.0
2016-04-01,122.63
2016-05-01,123.88
2016-06-01,124.3
2016-07-01,124.45
2016-08-01,124.43
2016-09-01,125.89
2016-10-01,128.49
2016-11-01,131.03
2016-12-01,134.27
2017-01-01,142.04
2017-02-01,143.43
2017-03-01,144.64
2017-04-01,145.65
2017-05-01,149.63
2017-06-01,148.6
2017-07-01,148.97
2017-08-01,149.51
2017-09-01,148.5
2017-10-01,150.09
2017-11-01,152.4
2017-12-01,153.94
2018-01-01,155.26
2018-02-01,158.76
2018-03-01,160.23
2018-04-01,162.45
2018-05-01,165.26
2018-06-01,170.11
2018-07-01,174.95
2018-08-01,188.32
2018-09-01,205.44
2018-10-01,201.34
2018-11-01,196.18
2018-12-01,197.76
2019-01-01,199.98
2019-02-01,196.67
2019-03-01,195.84
2019-04-01,201.44
2019-05-01,203.96
2019-06-01,204.54
2019-07-01,201.06
2019-08-01,197.91
2019-09-01,198.53
2019-10-01,198.17
2019-11-01,198.16
2019-12-01,197.92
2020-01-01,199.06
2020-02-01,203.19
2020-03-01,207.01
2020-04-01,213.17
2020-05-01,219.6
2020-06-01,218.3
2020-07-01,218.21
2020-08-01,224.11
2020-09-01,234.18
2020-10-01,243.08
2020-11-01,253.09
2020-12-01,261.3
2021-01-01,260.5
2021-02-01,257.51
2021-03-01,265.02
2021-04-01,271.11
2021-05-01,275.14
2021-06-01,281.36
2021-07-01,283.32
2021-08-01,284.96
2021-09-01,289.82
2021-10-01,302.55
2021-11-01,325.7
2021-12-01,380.11
2022-01-01,412.0
2022-02-01,423.96
2022-03-01,438.91
2022-04-01,445.95
2022-05-01,465.25
2022-06-01,493.47
2022-07-01,512.5
2022-08-01,541.21
2022-09-01,552.74
2022-10-01,570.41
2022-11-01,578.12
2022-12-01,589.07
2023-01-01,617.04
2023-02-01,636.3
2023-03-01,641.32
2023-04-01,658.48
2023-05-01,664.67
2023-06-01,691.5
2023-07-01,756.86
2023-08-01,782.01
2023-09-01,807.55
2023-10-01,815.95
2023-11-01,838.69
2023-12-01,837.82
2024-01-01,868.02
2024-02-01,899.45
2024-03-01,919.26
2024-04-01,935.69
2024-05-01,937.94
2024-06-01,954.01
2024-07-01,990.76
2024-08-01,1009.27
2024-09-01,1015.58
2024-10-01,1010.67
2024-11-01,1025.3
2024-12-01,1037.62
2025-01-01,1068.44
2025-02-01,1067.98
2025-03-01,1079.0
2025-04-01,1091.49
2025-05-01,1108.85
2025-06-01,1113.99
2025-07-01,1141.36
2025-08-01,1171.15
2025-09-01,1193.25
