Tarih,TP_TUFE1YI_T102
2000-01-01,23.8893535408
2000-02-01,24.6320990112
2000-03-01,25.1616490225
2000-04-01,26.1519763164
2000-05-01,26.9577634548
2000-06-01,27.8048142305
2000-07-01,28.6449877333
2000-08-01,29.5814430564
2000-09-01,30.0548286726
2000-10-01,30.6772218677
2000-11-01,31.1746779389
2000-12-01,31.5918991599
2001-01-01,32.5764953931
2001-02-01,33.3031938935
2001-03-01,33.5725537477
2001-04-01,36.6753500262
2001-05-01,39.1076121994
2001-06-01,42.2734501458
2001-07-01,43.9022176048
2001-08-01,45.351029757
2001-09-01,50.8264851771
2001-10-01,53.9281352434
2001-11-01,57.4699307736
2001-12-01,63.1643127135
2002-01-01,66.0539135328
2002-02-01,67.9486022096
2002-03-01,69.115446174
2002-04-01,69.9212333124
2002-05-01,71.2428159164
2002-06-01,72.0646500249
2002-07-01,73.5123159649
2002-08-01,75.8116175292
2002-09-01,77.9034546951
2002-10-01,79.523052457
2002-11-01,81.6435449266
2002-12-01,83.4843616326
2003-01-01,89.0159814478
2003-02-01,90.8514463832
2003-03-01,94.355780745
2003-04-01,96.0109951072
2003-05-01,99.4840764877
2003-06-01,102.6868188332
2003-07-01,103.166057073
2003-08-01,103.9664859822
2003-09-01,104.1933043444
2003-10-01,103.3972276576
2003-11-01,105.7338315886
2003-12-01,107.1379943495
2004-01-01,108.5379022209
2004-02-01,110.5946205364
2004-03-01,112.0462398156
2004-04-01,113.1288347324
2004-05-01,116.130634301
2004-06-01,116.8294842598
2004-07-01,116.8304504382
2004-08-01,116.3132922389
2004-09-01,117.5031611607
2004-10-01,120.6478694511
2004-11-01,123.0892843258
2004-12-01,126.4331494057
2005-01-01,127.99
2005-02-01,127.99
2005-03-01,127.98
2005-04-01,127.98
2005-05-01,128.1
2005-06-01,128.11
2005-07-01,128.15
2005-08-01,128.15
2005-09-01,128.15
2005-10-01,128.15
2005-11-01,128.15
2005-12-01,128.36
2006-01-01,128.4
2006-02-01,128.41
2006-03-01,129.1
2006-04-01,129.15
2006-05-01,129.66
2006-06-01,130.79
2006-07-01,132.34
2006-08-01,132.34
2006-09-01,134.1
2006-10-01,134.79
2006-11-01,134.81
2006-12-01,137.12
2007-01-01,138.51
2007-02-01,138.48
2007-03-01,138.48
2007-04-01,139.86
2007-05-01,133.69
2007-06-01,130.77
2007-07-01,130.42
2007-08-01,129.18
2007-09-01,130.15
2007-10-01,129.69
2007-11-01,129.68
2007-12-01,129.14
2008-01-01,130.74
2008-02-01,134.39
2008-03-01,134.39
2008-04-01,153.71
2008-05-01,154.29
2008-06-01,155.17
2008-07-01,156.8
2008-08-01,156.8
2008-09-01,159.01
2008-10-01,161.91
2008-11-01,167.92
2008-12-01,167.92
2009-01-01,173.36
2009-02-01,167.45
2009-03-01,167.76
2009-04-01,169.06
2009-05-01,168.53
2009-06-01,167.14
2009-07-01,168.13
2009-08-01,166.84
2009-09-01,164.65
2009-10-01,166.9
2009-11-01,166.93
2009-12-01,166.14
2010-01-01,167.57
2010-02-01,167.31
2010-03-01,168.21
2010-04-01,169.67
2010-05-01,170.79
2010-06-01,171.36
2010-07-01,172.0
2010-08-01,171.54
2010-09-01,172.62
2010-10-01,171.34
2010-11-01,172.37
2010-12-01,171.97
2011-01-01,172.33
2011-02-01,172.33
2011-03-01,174.59
2011-04-01,174.57
2011-05-01,174.55
2011-06-01,174.57
2011-07-01,180.55
2011-08-01,182.65
2011-09-01,182.65
2011-10-01,183.29
2011-11-01,183.29
2011-12-01,183.29
2012-01-01,189.92
2012-02-01,190.28
2012-03-01,190.28
2012-04-01,190.38
2012-05-01,190.4
2012-06-01,190.4
2012-07-01,195.43
2012-08-01,195.43
2012-09-01,195.43
2012-10-01,195.53
2012-11-01,195.57
2012-12-01,195.57
2013-01-01,203.92
2013-02-01,203.9
2013-03-01,203.98
2013-04-01,204.03
2013-05-01,204.0
2013-06-01,204.0
2013-07-01,205.85
2013-08-01,205.85
2013-09-01,205.92
2013-10-01,205.92
2013-11-01,205.79
2013-12-01,203.0
2014-01-01,209.2
2014-02-01,209.28
2014-03-01,209.33
2014-04-01,209.33
2014-05-01,209.33
2014-06-01,209.33
2014-07-01,209.33
2014-08-01,209.33
2014-09-01,209.33
2014-10-01,213.98
2014-11-01,213.99
2014-12-01,217.7
2015-01-01,224.67
2015-02-01,224.89
2015-03-01,225.23
2015-04-01,220.89
2015-05-01,220.95
2015-06-01,220.96
2015-07-01,220.96
2015-08-01,227.68
2015-09-01,228.65
2015-10-01,229.45
2015-11-01,234.93
2015-12-01,235.01
2016-01-01,243.09
2016-02-01,244.98
2016-03-01,245.4
2016-04-01,245.4
2016-05-01,245.4
2016-06-01,245.4
2016-07-01,250.92
2016-08-01,246.39
2016-09-01,246.39
2016-10-01,247.42
2016-11-01,247.42
2016-12-01,247.42
