Tarih,TP_TUFE1YI_T121
2000-01-01,24.7235980759
2000-02-01,26.0287151305
2000-03-01,29.7441136816
2000-04-01,30.4571229988
2000-05-01,31.656063666
2000-06-01,33.4943876883
2000-07-01,33.9206432584
2000-08-01,36.8532815807
2000-09-01,35.2722609207
2000-10-01,35.8186430606
2000-11-01,37.6492169816
2000-12-01,39.4712657913
2001-01-01,42.9998869016
2001-02-01,47.2980930684
2001-03-01,54.9303928036
2001-04-01,64.0879124696
2001-05-01,69.1324533893
2001-06-01,71.5574600781
2001-07-01,76.9220801803
2001-08-01,78.2922980856
2001-09-01,80.2879491638
2001-10-01,86.9359860372
2001-11-01,90.5056826842
2001-12-01,89.2431911866
2002-01-01,88.1946024842
2002-02-01,79.042507889
2002-03-01,77.0925824083
2002-04-01,75.3875601279
2002-05-01,73.2663574091
2002-06-01,75.6169631257
2002-07-01,81.918570472
2002-08-01,93.593323032
2002-09-01,93.6250984472
2002-10-01,95.909828303
2002-11-01,99.3190978536
2002-12-01,95.046467021
2003-01-01,99.1416205345
2003-02-01,101.7811653087
2003-03-01,101.5937014974
2003-04-01,105.607724616
2003-05-01,107.8723981722
2003-06-01,109.0821404316
2003-07-01,103.2729590975
2003-08-01,98.6803052546
2003-09-01,94.4081141924
2003-10-01,94.0531645434
2003-11-01,92.8882763005
2003-12-01,91.6184300505
2004-01-01,89.1442421123
2004-02-01,80.9467772361
2004-03-01,80.6267961234
2004-04-01,80.1909178923
2004-05-01,83.3396841467
2004-06-01,84.342911873
2004-07-01,84.7843884092
2004-08-01,87.1768968768
2004-09-01,88.2178034848
2004-10-01,88.370999639
2004-11-01,94.7522879754
2004-12-01,96.0224811017
2005-01-01,96.6
2005-02-01,97.96
2005-03-01,96.99
2005-04-01,100.16
2005-05-01,102.06
2005-06-01,101.31
2005-07-01,101.23
2005-08-01,109.45
2005-09-01,111.0
2005-10-01,114.08
2005-11-01,121.02
2005-12-01,125.14
2006-01-01,124.81
2006-02-01,125.98
2006-03-01,125.49
2006-04-01,131.29
2006-05-01,130.2
2006-06-01,140.58
2006-07-01,150.55
2006-08-01,149.71
2006-09-01,155.27
2006-10-01,155.28
2006-11-01,155.24
2006-12-01,161.4
2007-01-01,158.05
2007-02-01,154.09
2007-03-01,152.78
2007-04-01,152.13
2007-05-01,152.51
2007-06-01,150.09
2007-07-01,149.03
2007-08-01,148.65
2007-09-01,148.67
2007-10-01,145.05
2007-11-01,143.87
2007-12-01,143.98
2008-01-01,145.69
2008-02-01,153.37
2008-03-01,163.9
2008-04-01,168.22
2008-05-01,174.2
2008-06-01,170.45
2008-07-01,186.48
2008-08-01,196.77
2008-09-01,220.58
2008-10-01,221.07
2008-11-01,245.65
2008-12-01,283.68
2009-01-01,280.37
2009-02-01,280.58
2009-03-01,249.21
2009-04-01,243.91
2009-05-01,215.61
2009-06-01,167.08
2009-07-01,167.12
2009-08-01,164.59
2009-09-01,162.77
2009-10-01,157.71
2009-11-01,163.86
2009-12-01,165.98
2010-01-01,166.25
