Tarih,TP_FG_B05_68
2000-01-01,65557103.2
2000-02-01,67611542.9
2000-03-01,71447307.9
2000-04-01,75831039.4
2000-05-01,78659232.1
2000-06-01,81399064.2
2000-07-01,81463326.4
2000-08-01,83688070.0
2000-09-01,87055449.6
2000-10-01,89795281.7
2000-11-01,89795281.7
2000-12-01,92615441.6
2001-01-01,94259340.8
2001-02-01,95483798.2
2001-03-01,100963462.4
2001-04-01,103928212.4
2001-05-01,106668044.5
2001-06-01,108213813.1
2001-07-01,110050499.3
2001-08-01,111694398.3
2001-09-01,115787212.2
2001-10-01,118527044.3
2001-11-01,121989826.7
2001-12-01,124729658.8
2002-01-01,127469490.9
2002-02-01,133138467.1
2002-03-01,136440593.8
2002-04-01,136988560.3
2002-05-01,140824325.2
2002-06-01,141920258.1
2002-07-01,143337502.1
2002-08-01,143337502.1
2002-09-01,146366514.3
2002-10-01,149106346.5
2002-11-01,149106346.5
2002-12-01,149106346.5
2003-01-01,151846178.6
2003-02-01,151846178.6
2003-03-01,151846178.6
2003-04-01,151846178.6
2003-05-01,157839940.7
2003-06-01,160579772.9
2003-07-01,166621731.7
2003-08-01,167991647.8
2003-09-01,174841228.0
2003-10-01,180320892.3
2003-11-01,180320892.3
2003-12-01,185800556.5
2004-01-01,185800556.5
2004-02-01,187444455.8
2004-03-01,187444455.8
2004-04-01,187444455.8
2004-05-01,189910304.7
2004-06-01,189910304.7
2004-07-01,191280220.7
2004-08-01,191280220.7
2004-09-01,196759885.0
2004-10-01,196759885.0
2004-11-01,196759885.0
2004-12-01,196759885.0
2005-01-01,199499717.2
2005-02-01,201143616.4
2005-03-01,202239549.3
2005-04-01,206349297.5
2005-05-01,210459045.6
2005-06-01,210459045.6
2005-07-01,213198877.7
2005-08-01,218678542.0
2005-09-01,232377702.6
2005-10-01,232377702.6
2005-11-01,232377702.6
2005-12-01,237857366.8
2006-01-01,240597198.9
2006-02-01,240597198.9
2006-03-01,240597198.9
2006-04-01,241693131.8
2006-05-01,246076863.1
2006-06-01,246076863.1
2006-07-01,251556527.4
2006-08-01,256488225.2
2006-09-01,262515855.8
2006-10-01,265255688.0
2006-11-01,267995520.1
2006-12-01,270735352.2
2007-01-01,273475184.3
2007-02-01,273674397.3
2007-03-01,279154061.5
2007-04-01,287373557.8
2007-05-01,290113390.0
2007-06-01,292853222.1
2007-07-01,295593054.2
2007-08-01,298332886.3
2007-09-01,312032046.9
2007-10-01,320251543.2
2007-11-01,325731207.5
2007-12-01,336690535.9
2008-01-01,336690535.9
2008-02-01,342170200.2
2008-03-01,347649864.4
2008-04-01,347649864.4
2008-05-01,347649864.4
2008-06-01,350389696.5
2008-07-01,350389696.5
2008-08-01,355869360.7
2008-09-01,358609192.9
2008-10-01,361349025.0
2008-11-01,361349025.0
2008-12-01,361349025.0
2009-01-01,364088857.1
2009-02-01,364088857.1
2009-03-01,364088857.1
2009-04-01,364088857.1
2009-05-01,364088857.1
2009-06-01,386329866.3
2009-07-01,364088857.1
2009-08-01,364088857.1
2009-09-01,364088857.1
2009-10-01,364088857.1
2009-11-01,369568521.3
2009-12-01,375048185.5
2010-01-01,375048185.5
2010-02-01,375048185.5
2010-03-01,375048185.5
2010-04-01,375491595.0
2010-05-01,375491595.0
2010-06-01,375491595.0
2010-07-01,375491595.0
2010-08-01,375491595.0
2010-09-01,375491595.0
2010-10-01,375491595.0
2010-11-01,375491595.0
2010-12-01,375491595.0
2011-01-01,375491595.0
2011-02-01,375491595.0
2011-03-01,375491595.0
2011-04-01,375491595.0
2011-05-01,375491595.0
2011-06-01,375491595.0
2011-07-01,375491595.0
2011-08-01,375491595.0
2011-09-01,389190755.6
2011-10-01,389190755.6
2011-11-01,389190755.6
2011-12-01,394670419.8
2012-01-01,394670419.8
2012-02-01,397410251.9
2012-03-01,397570907.6
2012-04-01,398052874.4
2012-05-01,403628932.0
2012-06-01,403628932.0
2012-07-01,403628932.0
2012-08-01,403628932.0
2012-09-01,420067924.7
2012-10-01,425547588.9
2012-11-01,425547588.9
2012-12-01,436506917.4
2013-01-01,436506917.4
2013-02-01,436506917.4
2013-03-01,436506917.3
2013-04-01,455685742.1
2013-05-01,472121260.1
2013-06-01,472121260.1
2013-07-01,472121260.1
2013-08-01,477600924.3
2013-09-01,491300084.9
2013-10-01,491300084.9
2013-11-01,491300084.9
2013-12-01,500615514.1
2014-01-01,500615514.1
2014-02-01,500840432.0
2014-03-01,500840432.0
2014-04-01,500840432.0
2014-05-01,504714554.6
2014-06-01,504714554.6
2014-07-01,504714554.6
2014-08-01,517964382.7
2014-09-01,517964382.7
2014-10-01,520501467.3
2014-11-01,546003824.5
2014-12-01,550157410.1
2015-01-01,563856570.7
2015-02-01,563856570.7
2015-03-01,563856570.7
2015-04-01,563856570.7
2015-05-01,577555731.2
2015-06-01,577555731.2
2015-07-01,577555731.2
2015-08-01,585775227.6
2015-09-01,585775227.6
2015-10-01,591254891.8
2015-11-01,591254891.8
2015-12-01,591254891.8
2016-01-01,613173548.7
2016-02-01,614812235.9
2016-03-01,614812235.9
2016-04-01,628511396.5
2016-05-01,628511396.5
2016-06-01,628511396.5
2016-07-01,628511396.5
2016-08-01,628511396.5
2016-09-01,628511396.5
2016-10-01,628511396.5
2016-11-01,642210557.1
2016-12-01,669608878.2
2017-01-01,683308038.8
2017-02-01,683308038.8
2017-03-01,713446192.1
2017-04-01,724405520.6
2017-05-01,724405520.6
2017-06-01,724405520.6
2017-07-01,738104681.1
2017-08-01,751803841.7
2017-09-01,765503002.3
2017-10-01,779202162.9
2017-11-01,792901323.5
2017-12-01,795641155.6
2018-01-01,801120819.8
2018-02-01,806600484.0
2018-03-01,806600484.0
2018-04-01,806600484.0
2018-05-01,820299644.6
2018-06-01,820299644.6
2018-07-01,820299644.6
2018-08-01,833998805.2
2018-09-01,833998805.2
2018-10-01,833998805.2
2018-11-01,833998805.2
2018-12-01,847697965.8
2019-01-01,861397126.4
2019-02-01,875096287.0
2019-03-01,875899565.0
2019-04-01,889598725.6
2019-05-01,889598725.6
2019-06-01,889598725.6
2019-07-01,889598725.6
2019-08-01,916997046.7
2019-09-01,930696207.3
2019-10-01,944395367.9
2019-11-01,944395367.9
2019-12-01,944395367.9
2020-01-01,944395367.9
2020-02-01,971793689.0
2020-03-01,971793689.0
2020-04-01,971793689.0
2020-05-01,971793689.0
2020-06-01,971793689.0
2020-07-01,971793689.0
2020-08-01,971793689.0
2020-09-01,999192010.2
2020-10-01,999192010.2
2020-11-01,1026590331.4
2020-12-01,1053988652.5
2021-01-01,1054631274.9
2021-02-01,1082029596.1
2021-03-01,1109427917.3
2021-04-01,1110391850.9
2021-05-01,1165188493.2
2021-06-01,1221591691.6
2021-07-01,1221591691.6
2021-08-01,1276388333.9
2021-09-01,1331184976.2
2021-10-01,1385981618.6
2021-11-01,1495574903.2
2021-12-01,1556476458.5
2022-01-01,1666069743.2
2022-02-01,1668296429.8
2022-03-01,1671297476.5
2022-04-01,1808857803.2
2022-05-01,1946228556.2
2022-06-01,2083220162.0
2022-07-01,2224922190.2
2022-08-01,2224922190.2
2022-09-01,2309115709.4
2022-10-01,2364339695.6
2022-11-01,2364339695.6
2022-12-01,2503047103.3
2023-01-01,2554126174.9
2023-02-01,2554126174.9
2023-03-01,2554126174.9
2023-04-01,2560809448.1
2023-05-01,2560809448.1
2023-06-01,2568842228.3
2023-07-01,2592940569.1
2023-08-01,2600973349.3
2023-09-01,2633104470.3
2023-10-01,2641137250.6
2023-11-01,2641137250.6
2023-12-01,2641137250.6
2024-01-01,2641137250.6
2024-02-01,2641137250.6
2024-03-01,2641137250.6
2024-04-01,2641137250.6
2024-05-01,2860323819.9
2024-06-01,2860323819.9
2024-07-01,3142018500.5
2024-08-01,3393509927.4
2024-09-01,3669742317.5
2024-10-01,4217708740.7
2024-11-01,4491691952.4
2024-12-01,5082881159.6
2025-01-01,5630847582.8
2025-02-01,6178814006.0
2025-03-01,6452797217.6
2025-04-01,6726780429.2
2025-05-01,7026301455.8
2025-06-01,7300284667.4
2025-07-01,7832185530.1
2025-08-01,8380151953.3
2025-09-01,9202101588.2
