Tarih,TP_FG_B02_95
2000-01-01,1312.8
2000-02-01,1356.6
2000-03-01,1411.9
2000-04-01,1417.7
2000-05-01,1447.4
2000-06-01,1445.6
2000-07-01,1454.0
2000-08-01,1463.2
2000-09-01,1496.5
2000-10-01,1534.7
2000-11-01,1612.6
2000-12-01,1706.2
2001-01-01,1729.1
2001-02-01,1744.8
2001-03-01,1819.6
2001-04-01,1952.0
2001-05-01,2039.7
2001-06-01,2109.9
2001-07-01,2159.4
2001-08-01,2154.5
2001-09-01,2241.8
2001-10-01,2518.5
2001-11-01,2726.0
2001-12-01,2886.1
2002-01-01,3101.9
2002-02-01,3189.9
2002-03-01,3180.4
2002-04-01,3144.8
2002-05-01,3176.2
2002-06-01,3184.9
2002-07-01,3180.5
2002-08-01,3180.8
2002-09-01,3287.0
2002-10-01,3430.5
2002-11-01,3649.5
2002-12-01,3792.2
2003-01-01,3887.1
2003-02-01,4009.5
2003-03-01,4109.4
2003-04-01,4124.0
2003-05-01,4276.3
2003-06-01,4326.7
2003-07-01,4207.3
2003-08-01,4194.0
2003-09-01,4256.9
2003-10-01,4319.3
2003-11-01,4395.6
2003-12-01,4528.9
2004-01-01,4605.3
2004-02-01,4635.6
2004-03-01,4705.3
2004-04-01,4782.4
2004-05-01,4760.5
2004-06-01,4707.9
2004-07-01,4586.8
2004-08-01,4645.3
2004-09-01,4664.7
2004-10-01,4774.3
2004-11-01,4871.3
2004-12-01,4943.6
2005-01-01,4966.4
2005-02-01,5031.0
2005-03-01,5053.3
2005-04-01,5016.9
2005-05-01,5050.1
2005-06-01,4924.6
2005-07-01,4857.7
2005-08-01,5024.8
2005-09-01,5044.7
2005-10-01,5183.6
2005-11-01,5321.1
2005-12-01,5403.5
2006-01-01,5445.4
2006-02-01,5562.4
2006-03-01,5618.0
2006-04-01,5609.7
2006-05-01,5683.3
2006-06-01,5575.5
2006-07-01,5597.5
2006-08-01,5574.7
2006-09-01,5622.0
2006-10-01,5713.5
2006-11-01,5855.3
2006-12-01,5906.3
2007-01-01,6062.2
2007-02-01,6101.4
2007-03-01,6213.6
2007-04-01,6274.6
2007-05-01,6190.8
2007-06-01,6102.1
2007-07-01,6077.1
2007-08-01,6164.2
2007-09-01,6236.4
2007-10-01,6395.4
2007-11-01,6565.1
2007-12-01,6661.4
2008-01-01,6720.8
2008-02-01,6850.9
2008-03-01,7005.2
2008-04-01,7266.7
2008-05-01,7260.6
2008-06-01,7192.7
2008-07-01,7164.3
2008-08-01,7242.1
2008-09-01,7286.5
2008-10-01,7505.0
2008-11-01,7618.2
2008-12-01,7627.2
2009-01-01,7685.3
2009-02-01,7709.1
2009-03-01,7859.6
2009-04-01,7990.8
2009-05-01,7958.4
2009-06-01,7777.6
2009-07-01,7989.0
2009-08-01,7989.4
2009-09-01,8057.8
2009-10-01,8117.0
2009-11-01,8262.0
2009-12-01,8342.1
2010-01-01,8895.7
2010-02-01,9083.1
2010-03-01,9216.3
2010-04-01,9338.9
2010-05-01,9167.5
2010-06-01,8840.7
2010-07-01,8863.8
2010-08-01,9013.7
2010-09-01,9216.2
2010-10-01,9469.0
2010-11-01,9446.1
2010-12-01,9368.5
2011-01-01,9430.8
2011-02-01,9535.5
2011-03-01,9594.5
2011-04-01,9627.5
2011-05-01,9651.1
2011-06-01,9448.1
2011-07-01,9454.5
2011-08-01,9534.7
2011-09-01,9514.8
2011-10-01,9704.6
2011-11-01,10079.5
2011-12-01,10218.3
2012-01-01,10415.2
2012-02-01,10496.2
2012-03-01,10499.4
2012-04-01,10581.5
2012-05-01,10667.2
2012-06-01,10551.0
2012-07-01,10500.8
2012-08-01,10672.3
2012-09-01,10651.5
2012-10-01,10786.3
2012-11-01,10879.9
2012-12-01,10877.6
2013-01-01,11130.4
2013-02-01,11307.8
2013-03-01,11438.1
2013-04-01,11562.0
2013-05-01,11467.9
2013-06-01,11349.8
2013-07-01,11393.1
2013-08-01,11330.1
2013-09-01,11264.9
2013-10-01,11570.1
2013-11-01,11650.6
2013-12-01,11496.4
2014-01-01,11807.0
2014-02-01,12069.5
2014-03-01,12259.5
2014-04-01,12382.7
2014-05-01,12322.3
2014-06-01,12342.1
2014-07-01,12444.2
2014-08-01,12623.6
2014-09-01,12595.1
2014-10-01,12875.2
2014-11-01,13040.2
2014-12-01,13147.6
2015-01-01,13312.6
2015-02-01,13507.3
2015-03-01,13750.0
2015-04-01,13980.9
2015-05-01,13766.0
2015-06-01,13535.2
2015-07-01,13427.7
2015-08-01,13581.6
2015-09-01,13668.9
