Tarih,TP_FG_B06_95
2000-01-01,1409.6
2000-02-01,1424.0
2000-03-01,1571.6
2000-04-01,1611.1
2000-05-01,1621.6
2000-06-01,1681.8
2000-07-01,1745.7
2000-08-01,1761.6
2000-09-01,1787.0
2000-10-01,1803.2
2000-11-01,1836.4
2000-12-01,1843.2
2001-01-01,1930.4
2001-02-01,1965.0
2001-03-01,2006.8
2001-04-01,2231.6
2001-05-01,2259.7
2001-06-01,2499.6
2001-07-01,2672.8
2001-08-01,2693.4
2001-09-01,2781.6
2001-10-01,2881.8
2001-11-01,2910.8
2001-12-01,3055.0
2002-01-01,3227.9
2002-02-01,3338.5
2002-03-01,3908.0
2002-04-01,3965.8
2002-05-01,3982.8
2002-06-01,3988.1
2002-07-01,4148.1
2002-08-01,4172.5
2002-09-01,4181.0
2002-10-01,4190.4
2002-11-01,4197.6
2002-12-01,4300.7
2003-01-01,4400.7
2003-02-01,4928.3
2003-03-01,4943.5
2003-04-01,5036.8
2003-05-01,5047.8
2003-06-01,5058.3
2003-07-01,5072.3
2003-08-01,5081.9
2003-09-01,5087.7
2003-10-01,5091.5
2003-11-01,5094.7
2003-12-01,5098.4
2004-01-01,5548.4
2004-02-01,6012.1
2004-03-01,5962.6
2004-04-01,6072.3
2004-05-01,6074.3
2004-06-01,6078.3
2004-07-01,6159.2
2004-08-01,6288.8
2004-09-01,6290.2
2004-10-01,6290.5
2004-11-01,6302.4
2004-12-01,6302.9
2005-01-01,6335.5
2005-02-01,6127.7
2005-03-01,6128.6
2005-04-01,6132.9
2005-05-01,6135.4
2005-06-01,6136.6
2005-07-01,5990.1
2005-08-01,5990.9
2005-09-01,5993.7
2005-10-01,5998.7
2005-11-01,5998.9
2005-12-01,5999.6
2006-01-01,6207.0
2006-02-01,6146.4
2006-03-01,6148.3
2006-04-01,6153.2
2006-05-01,6542.2
2006-06-01,6543.5
2006-07-01,6623.0
2006-08-01,6702.2
2006-09-01,6774.4
2006-10-01,6777.4
2006-11-01,6788.9
2006-12-01,6799.3
2007-01-01,6952.3
2007-02-01,6972.9
2007-03-01,6991.2
2007-04-01,7021.1
2007-05-01,7066.3
2007-06-01,7165.4
2007-07-01,7208.3
2007-08-01,7243.9
2007-09-01,7284.4
2007-10-01,7331.7
2007-11-01,7351.1
2007-12-01,7380.5
2008-01-01,7502.5
2008-02-01,7558.1
2008-03-01,7626.8
2008-04-01,7717.3
2008-05-01,7779.1
2008-06-01,7830.2
2008-07-01,7835.3
2008-08-01,7968.2
2008-09-01,8018.3
2008-10-01,8043.3
2008-11-01,8053.9
2008-12-01,8066.2
2009-01-01,8209.3
2009-02-01,8261.8
2009-03-01,8273.1
2009-04-01,8410.2
2009-05-01,8468.0
2009-06-01,8488.3
2009-07-01,8488.3
2009-08-01,8495.5
2009-09-01,8534.1
2009-10-01,8577.9
2009-11-01,8605.1
2009-12-01,8626.6
2010-01-01,8767.0
2010-02-01,8847.9
2010-03-01,8876.2
2010-04-01,8951.4
2010-05-01,9006.2
2010-06-01,9124.5
2010-07-01,9252.6
2010-08-01,9377.2
2010-09-01,9377.2
2010-10-01,9379.5
2010-11-01,9379.5
2010-12-01,9391.0
2011-01-01,10586.7
2011-02-01,11212.1
2011-03-01,11601.2
2011-04-01,11993.9
2011-05-01,12238.4
2011-06-01,12280.5
2011-07-01,12283.3
2011-08-01,12299.4
2011-09-01,12333.7
2011-10-01,12413.1
2011-11-01,12416.7
2011-12-01,12427.5
2012-01-01,12998.8
2012-02-01,13048.0
2012-03-01,13056.3
2012-04-01,13062.3
2012-05-01,13162.3
2012-06-01,12990.8
2012-07-01,13024.7
2012-08-01,13025.1
2012-09-01,13211.1
2012-10-01,13224.5
2012-11-01,13224.7
2012-12-01,13235.0
2013-01-01,14302.9
2013-02-01,14324.5
2013-03-01,14337.1
2013-04-01,14345.7
2013-05-01,14524.6
2013-06-01,14557.7
2013-07-01,14564.1
2013-08-01,14676.3
2013-09-01,14684.4
2013-10-01,14686.5
2013-11-01,14709.1
2013-12-01,14955.6
2014-01-01,15688.5
2014-02-01,15736.4
2014-03-01,15771.8
2014-04-01,15786.2
2014-05-01,15787.3
2014-06-01,15789.2
2014-07-01,15913.6
2014-08-01,15922.1
2014-09-01,16130.6
2014-10-01,16421.3
2014-11-01,16509.1
2014-12-01,16578.0
2015-01-01,18243.6
2015-02-01,18384.5
2015-03-01,18437.0
2015-04-01,18461.6
2015-05-01,18843.2
2015-06-01,18961.1
2015-07-01,18986.9
2015-08-01,19366.1
2015-09-01,19364.3
2015-10-01,19034.8
2015-11-01,19120.6
2015-12-01,19136.0
2016-01-01,19146.6
2016-02-01,20088.6
2016-03-01,20319.6
2016-04-01,20329.4
2016-05-01,20342.4
2016-06-01,20394.7
2016-07-01,20435.4
2016-08-01,20587.5
2016-09-01,20603.9
2016-10-01,20612.5
2016-11-01,20619.7
2016-12-01,20666.6
2017-01-01,21522.2
2017-02-01,21886.1
2017-03-01,22537.8
2017-04-01,22601.9
2017-05-01,22610.8
2017-06-01,22662.3
2017-07-01,22676.2
2017-08-01,22679.2
2017-09-01,22698.1
2017-10-01,22742.7
2017-11-01,23699.8
2017-12-01,24014.1
2018-01-01,25167.8
2018-02-01,25615.7
2018-03-01,25624.3
2018-04-01,25685.5
2018-05-01,26271.5
2018-06-01,27473.6
2018-07-01,27499.4
2018-08-01,27909.6
2018-09-01,29408.0
2018-10-01,29566.9
2018-11-01,29572.1
2018-12-01,30039.6
2019-01-01,31133.6
2019-02-01,32086.1
2019-03-01,32018.4
2019-04-01,32564.4
2019-05-01,32606.9
2019-06-01,32609.2
2019-07-01,32670.3
2019-08-01,32664.1
2019-09-01,33273.0
2019-10-01,33302.0
2019-11-01,33532.2
2019-12-01,33784.1
2020-01-01,36122.1
2020-02-01,36927.2
2020-03-01,37112.7
2020-04-01,37115.1
2020-05-01,37484.2
2020-06-01,37685.4
2020-07-01,37729.9
2020-08-01,37809.7
2020-09-01,38117.6
2020-10-01,38131.7
2020-11-01,38207.9
2020-12-01,38332.2
2021-01-01,42135.4
2021-02-01,43400.3
2021-03-01,43521.1
2021-04-01,43506.9
2021-05-01,43535.7
2021-06-01,43567.3
2021-07-01,43728.7
2021-08-01,43758.8
2021-09-01,43749.8
2021-10-01,43856.2
2021-11-01,44155.6
2021-12-01,44605.5
2022-01-01,54202.0
2022-02-01,58017.3
2022-03-01,58591.2
2022-04-01,60230.7
2022-05-01,62127.3
2022-06-01,64441.5
2022-07-01,75599.1
2022-08-01,78614.2
2022-09-01,85197.9
2022-10-01,87729.9
2022-11-01,91100.2
2022-12-01,97511.7
2023-01-01,113038.5
2023-02-01,122096.3
2023-03-01,127833.8
2023-04-01,128647.7
2023-05-01,130303.7
2023-06-01,130410.1
2023-07-01,153039.0
2023-08-01,155894.8
2023-09-01,161349.0
2023-10-01,168739.9
2023-11-01,170936.7
2023-12-01,179742.8
2024-01-01,224674.4
2024-02-01,237213.1
2024-03-01,244455.8
2024-04-01,246597.0
2024-05-01,246282.8
2024-06-01,247612.2
2024-07-01,263947.3
2024-08-01,267282.1
2024-09-01,269209.8
2024-10-01,280428.1
2024-11-01,283456.4
2024-12-01,284973.8
2025-01-01,320430.0
2025-02-01,322475.0
2025-03-01,325704.6
2025-04-01,327303.6
2025-05-01,329488.5
2025-06-01,330338.9
2025-07-01,355445.0
2025-08-01,355763.4
2025-09-01,357362.1
