Tarih,TP_KB_GEN32
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,527450.0
2006-02-01,143018.0
2006-03-01,172043.0
2006-04-01,448599.0
2006-05-01,181217.0
2006-06-01,182141.0
2006-07-01,189998.0
2006-08-01,221993.0
2006-09-01,205937.0
2006-10-01,137854.0
2006-11-01,126711.0
2006-12-01,2184722.0
2007-01-01,192245.0
2007-02-01,163466.0
2007-03-01,159193.0
2007-04-01,200415.0
2007-05-01,161429.0
2007-06-01,235274.0
2007-07-01,165949.0
2007-08-01,264170.0
2007-09-01,134976.0
2007-10-01,295567.0
2007-11-01,164198.0
2007-12-01,617156.0
2008-01-01,229000.0
2008-02-01,224600.0
2008-03-01,208140.0
2008-04-01,336646.0
2008-05-01,229758.0
2008-06-01,204261.0
2008-07-01,163024.0
2008-08-01,138071.0
2008-09-01,292210.0
2008-10-01,228068.0
2008-11-01,369069.0
2008-12-01,820586.0
2009-01-01,221150.0
2009-02-01,226358.0
2009-03-01,815464.0
2009-04-01,205670.0
2009-05-01,309622.0
2009-06-01,237977.0
2009-07-01,313457.0
2009-08-01,266434.0
2009-09-01,209036.0
2009-10-01,241567.0
2009-11-01,413129.0
2009-12-01,885421.0
2010-01-01,317050.0
2010-02-01,200330.0
2010-03-01,290730.0
2010-04-01,413512.0
2010-05-01,274700.0
2010-06-01,352984.0
2010-07-01,379067.0
2010-08-01,769204.0
2010-09-01,123836.0
2010-10-01,258050.0
2010-11-01,387636.0
2010-12-01,3537533.0
2011-01-01,4000.0
2011-02-01,163435.0
2011-03-01,93295.0
2011-04-01,105938.0
2011-05-01,205916.0
2011-06-01,149501.0
2011-07-01,141188.0
2011-08-01,490885.0
2011-09-01,593981.0
2011-10-01,468606.0
2011-11-01,99032.0
2011-12-01,1313291.0
2012-01-01,307670.0
2012-02-01,667100.0
2012-03-01,661712.0
2012-04-01,459609.0
2012-05-01,517896.0
2012-06-01,359843.0
2012-07-01,436764.0
2012-08-01,302661.0
2012-09-01,464571.0
2012-10-01,1502565.0
2012-11-01,435583.0
2012-12-01,1195358.0
2013-01-01,1294897.0
2013-02-01,358904.0
2013-03-01,462254.0
2013-04-01,464223.0
2013-05-01,402024.0
2013-06-01,400968.0
2013-07-01,428559.0
2013-08-01,380050.0
2013-09-01,547272.0
2013-10-01,419988.0
2013-11-01,421464.0
2013-12-01,1078918.0
2014-01-01,475777.0
2014-02-01,1024850.0
2014-03-01,437751.0
2014-04-01,1454114.0
