Tarih,TP_KB_GEN41
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,642120.0
2006-02-01,1198506.0
2006-03-01,-294023.0
2006-04-01,-594018.0
2006-05-01,-3767793.0
2006-06-01,-2691844.0
2006-07-01,3582120.0
2006-08-01,3876005.0
2006-09-01,-452722.0
2006-10-01,1021837.0
2006-11-01,-145337.0
2006-12-01,1679344.0
2007-01-01,6491656.0
2007-02-01,7282951.0
2007-03-01,536112.0
2007-04-01,-1588588.0
2007-05-01,-3442624.0
2007-06-01,-4479449.0
2007-07-01,2545768.0
2007-08-01,911064.0
2007-09-01,1682280.0
2007-10-01,-2082495.0
2007-11-01,-1043168.0
2007-12-01,-375774.0
2008-01-01,1891361.0
2008-02-01,2758737.0
2008-03-01,1107262.0
2008-04-01,2707312.0
2008-05-01,-1459676.0
2008-06-01,-464474.0
2008-07-01,1474347.0
2008-08-01,3200822.0
2008-09-01,2962451.0
2008-10-01,729119.0
2008-11-01,734034.0
2008-12-01,1739629.0
2009-01-01,4308748.0
2009-02-01,9258458.0
2009-03-01,2306371.0
2009-04-01,6361591.0
2009-05-01,6903540.0
2009-06-01,-1990551.0
2009-07-01,10035555.0
2009-08-01,8365328.0
2009-09-01,3673079.0
2009-10-01,6080600.0
2009-11-01,1981006.0
2009-12-01,3609829.0
2010-01-01,9365314.0
2010-02-01,1055673.0
2010-03-01,2750403.0
2010-04-01,7386998.0
2010-05-01,-3169772.0
2010-06-01,-156286.0
2010-07-01,2353721.0
2010-08-01,4921467.0
2010-09-01,329178.0
2010-10-01,-87997.0
2010-11-01,3381068.0
2010-12-01,2955020.0
2011-01-01,175460.0
2011-02-01,3487745.0
2011-03-01,6008973.0
2011-04-01,1624823.0
2011-05-01,84084.0
2011-06-01,-376050.0
2011-07-01,733057.0
2011-08-01,2813863.0
2011-09-01,-253861.0
2011-10-01,2728489.0
2011-11-01,-2618994.0
2011-12-01,3060195.0
2012-01-01,3963455.0
2012-02-01,5603814.0
2012-03-01,-330917.0
2012-04-01,-506672.0
2012-05-01,21283.0
2012-06-01,2082939.0
2012-07-01,4270827.0
2012-08-01,2324606.0
2012-09-01,5314237.0
2012-10-01,3078685.0
2012-11-01,-4428713.0
2012-12-01,1350878.0
2013-01-01,2107995.0
2013-02-01,1360600.0
2013-03-01,2195210.0
2013-04-01,2764915.0
2013-05-01,951426.0
2013-06-01,778536.0
2013-07-01,6736406.0
2013-08-01,3424593.0
2013-09-01,3416329.0
