Tarih,TP_KB_GEN49
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,1601963.0
2006-02-01,3001622.0
2006-03-01,176067.0
2006-04-01,5351435.0
2006-05-01,264750.0
2006-06-01,-605532.0
2006-07-01,2131540.0
2006-08-01,1562597.0
2006-09-01,-3215712.0
2006-10-01,6260231.0
2006-11-01,141303.0
2006-12-01,1501168.0
2007-01-01,1637093.0
2007-02-01,7505786.0
2007-03-01,2413590.0
2007-04-01,2357287.0
2007-05-01,-2951958.0
2007-06-01,-4775904.0
2007-07-01,4795726.0
2007-08-01,1691200.0
2007-09-01,2747908.0
2007-10-01,127712.0
2007-11-01,1410837.0
2007-12-01,-1131339.0
2008-01-01,4412333.0
2008-02-01,4527515.0
2008-03-01,3434754.0
2008-04-01,1758212.0
2008-05-01,-1051638.0
2008-06-01,-436053.0
2008-07-01,568349.0
2008-08-01,-433964.0
2008-09-01,1821001.0
2008-10-01,2353528.0
2008-11-01,-1641580.0
2008-12-01,-488513.0
2009-01-01,5628058.0
2009-02-01,8299439.0
2009-03-01,-119892.0
2009-04-01,10533726.0
2009-05-01,4512653.0
2009-06-01,3517301.0
2009-07-01,8417069.0
2009-08-01,2055400.0
2009-09-01,5057498.0
2009-10-01,6446134.0
2009-11-01,5843360.0
2009-12-01,752163.0
2010-01-01,6872613.0
2010-02-01,4483379.0
2010-03-01,3144140.0
2010-04-01,2920723.0
2010-05-01,-3089956.0
2010-06-01,1562064.0
2010-07-01,7595767.0
2010-08-01,2570498.0
2010-09-01,5087691.0
2010-10-01,3935685.0
2010-11-01,2125213.0
2010-12-01,1813336.0
2011-01-01,2047225.0
2011-02-01,4141323.0
2011-03-01,3812133.0
2011-04-01,2174920.0
2011-05-01,1322072.0
2011-06-01,1145756.0
2011-07-01,5865074.0
2011-08-01,2574518.0
2011-09-01,536114.0
2011-10-01,2159589.0
2011-11-01,-829822.0
2011-12-01,2262809.0
2012-01-01,7069104.0
2012-02-01,4899602.0
2012-03-01,-1815626.0
2012-04-01,-1387564.0
2012-05-01,1156664.0
2012-06-01,1827080.0
2012-07-01,4410856.0
2012-08-01,2762810.0
2012-09-01,1404318.0
2012-10-01,3675348.0
2012-11-01,-4970017.0
2012-12-01,-1208736.0
2013-01-01,2402620.0
2013-02-01,1882288.0
2013-03-01,2920466.0
2013-04-01,770505.0
2013-05-01,1567502.0
2013-06-01,674593.0
2013-07-01,5133463.0
2013-08-01,3421630.0
2013-09-01,6315756.0
