Tarih,TP_KB_GEL014
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,614467.0
2006-02-01,455226.0
2006-03-01,148368.0
2006-04-01,97424.0
2006-05-01,110588.0
2006-06-01,92068.0
2006-07-01,633958.0
2006-08-01,553756.0
2006-09-01,109920.0
2006-10-01,80510.0
2006-11-01,114149.0
2006-12-01,106748.0
2007-01-01,682389.0
2007-02-01,570196.0
2007-03-01,132485.0
2007-04-01,107178.0
2007-05-01,148595.0
2007-06-01,115387.0
2007-07-01,722262.0
2007-08-01,583143.0
2007-09-01,128298.0
2007-10-01,144085.0
2007-11-01,162127.0
2007-12-01,149293.0
2008-01-01,928720.0
2008-02-01,557507.0
2008-03-01,150550.0
2008-04-01,146027.0
2008-05-01,140166.0
2008-06-01,147561.0
2008-07-01,904435.0
2008-08-01,551134.0
2008-09-01,160709.0
2008-10-01,123337.0
2008-11-01,136076.0
2008-12-01,141842.0
2009-01-01,984342.0
2009-02-01,559681.0
2009-03-01,162422.0
2009-04-01,172517.0
2009-05-01,162087.0
2009-06-01,203483.0
2009-07-01,1148010.0
2009-08-01,528468.0
2009-09-01,173197.0
2009-10-01,175849.0
2009-11-01,142726.0
2009-12-01,251195.0
2010-01-01,1277907.0
2010-02-01,554748.0
2010-03-01,227246.0
2010-04-01,222796.0
2010-05-01,199981.0
2010-06-01,199774.0
2010-07-01,1352486.0
2010-08-01,544447.0
2010-09-01,183202.0
2010-10-01,153998.0
2010-11-01,157617.0
2010-12-01,174405.0
2011-01-01,1745136.0
2011-02-01,325096.0
2011-03-01,254318.0
2011-04-01,251718.0
2011-05-01,307079.0
2011-06-01,271579.0
2011-07-01,1595216.0
2011-08-01,664634.0
2011-09-01,234533.0
2011-10-01,179324.0
2011-11-01,214615.0
2011-12-01,213760.0
2012-01-01,2194766.0
2012-02-01,358438.0
2012-03-01,355768.0
2012-04-01,206116.0
2012-05-01,232695.0
2012-06-01,205892.0
2012-07-01,2027046.0
2012-08-01,522780.0
2012-09-01,221411.0
2012-10-01,209069.0
2012-11-01,267731.0
2012-12-01,207416.0
2013-01-01,2526784.0
2013-02-01,333309.0
2013-03-01,254661.0
2013-04-01,229573.0
2013-05-01,271450.0
2013-06-01,226803.0
2013-07-01,2509764.0
2013-08-01,363308.0
2013-09-01,270010.0
2013-10-01,200852.0
2013-11-01,253438.0
2013-12-01,253168.0
2014-01-01,2734285.0
2014-02-01,346775.0
2014-03-01,261175.0
2014-04-01,231396.0
