Tarih,TP_KB_GEL045
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,16.0
2006-02-01,89.0
2006-03-01,341.0
2006-04-01,108.0
2006-05-01,42.0
2006-06-01,212.0
2006-07-01,170.0
2006-08-01,262.0
2006-09-01,473.0
2006-10-01,116.0
2006-11-01,492.0
2006-12-01,299.0
2007-01-01,12548.0
2007-02-01,14420.0
2007-03-01,13031.0
2007-04-01,11177.0
2007-05-01,9509.0
2007-06-01,10572.0
2007-07-01,9038.0
2007-08-01,10364.0
2007-09-01,7199.0
2007-10-01,7170.0
2007-11-01,9333.0
2007-12-01,9737.0
2008-01-01,12699.0
2008-02-01,17147.0
2008-03-01,12443.0
2008-04-01,9576.0
2008-05-01,12762.0
2008-06-01,10213.0
2008-07-01,9756.0
2008-08-01,10450.0
2008-09-01,8618.0
2008-10-01,11335.0
2008-11-01,8801.0
2008-12-01,10624.0
2009-01-01,12846.0
2009-02-01,9312.0
2009-03-01,10665.0
2009-04-01,9831.0
2009-05-01,12403.0
2009-06-01,7911.0
2009-07-01,5437.0
2009-08-01,8798.0
2009-09-01,7722.0
2009-10-01,11200.0
2009-11-01,16910.0
2009-12-01,14912.0
2010-01-01,13236.0
2010-02-01,9937.0
2010-03-01,13676.0
2010-04-01,53565.0
2010-05-01,37031.0
2010-06-01,31135.0
2010-07-01,38724.0
2010-08-01,33590.0
2010-09-01,34482.0
2010-10-01,39592.0
2010-11-01,67992.0
2010-12-01,101399.0
2011-01-01,37826.0
2011-02-01,38331.0
2011-03-01,33499.0
2011-04-01,39086.0
2011-05-01,71365.0
2011-06-01,33960.0
2011-07-01,36031.0
2011-08-01,30682.0
2011-09-01,33831.0
2011-10-01,37484.0
2011-11-01,67939.0
2011-12-01,34883.0
2012-01-01,40693.0
2012-02-01,38772.0
2012-03-01,38302.0
2012-04-01,39137.0
2012-05-01,37602.0
2012-06-01,70887.0
2012-07-01,40904.0
2012-08-01,36852.0
2012-09-01,46240.0
2012-10-01,42705.0
2012-11-01,79459.0
2012-12-01,42422.0
2013-01-01,45694.0
2013-02-01,48186.0
2013-03-01,43525.0
2013-04-01,47965.0
2013-05-01,82908.0
2013-06-01,44865.0
2013-07-01,53560.0
2013-08-01,40519.0
2013-09-01,49129.0
2013-10-01,54961.0
2013-11-01,87161.0
2013-12-01,54265.0
2014-01-01,53898.0
2014-02-01,48395.0
2014-03-01,41713.0
2014-04-01,44618.0
2014-05-01,41134.0
2014-06-01,36657.0
