Tarih,TP_KB_GEL095
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,52567.0
2006-02-01,957.0
2006-03-01,8244.0
2006-04-01,38777.0
2006-05-01,647672.0
2006-06-01,42672.0
2006-07-01,156156.0
2006-08-01,-4402.0
2006-09-01,104359.0
2006-10-01,234032.0
2006-11-01,79040.0
2006-12-01,46948.0
2007-01-01,4227.0
2007-02-01,25073.0
2007-03-01,3171.0
2007-04-01,637605.0
2007-05-01,164700.0
2007-06-01,23624.0
2007-07-01,169665.0
2007-08-01,152077.0
2007-09-01,115101.0
2007-10-01,105072.0
2007-11-01,87086.0
2007-12-01,97784.0
2008-01-01,91364.0
2008-02-01,614490.0
2008-03-01,226730.0
2008-04-01,89085.0
2008-05-01,84342.0
2008-06-01,96781.0
2008-07-01,95797.0
2008-08-01,68048.0
2008-09-01,70977.0
2008-10-01,59519.0
2008-11-01,157986.0
2008-12-01,91501.0
2009-01-01,92389.0
2009-02-01,712066.0
2009-03-01,50069.0
2009-04-01,276796.0
2009-05-01,74687.0
2009-06-01,117290.0
2009-07-01,80285.0
2009-08-01,67227.0
2009-09-01,69567.0
2009-10-01,103098.0
2009-11-01,85097.0
2009-12-01,82504.0
2010-01-01,90513.0
2010-02-01,694502.0
2010-03-01,67461.0
2010-04-01,290557.0
2010-05-01,117753.0
2010-06-01,132289.0
2010-07-01,88051.0
2010-08-01,72145.0
2010-09-01,66813.0
2010-10-01,77579.0
2010-11-01,90569.0
2010-12-01,104520.0
2011-01-01,127836.0
2011-02-01,706987.0
2011-03-01,270493.0
2011-04-01,174746.0
2011-05-01,89612.0
2011-06-01,87476.0
2011-07-01,97731.0
2011-08-01,92478.0
2011-09-01,102676.0
2011-10-01,134780.0
2011-11-01,121078.0
2011-12-01,89582.0
2012-01-01,137731.0
2012-02-01,824301.0
2012-03-01,247176.0
2012-04-01,228778.0
2012-05-01,129332.0
2012-06-01,129924.0
2012-07-01,114098.0
2012-08-01,92427.0
2012-09-01,98203.0
2012-10-01,107710.0
2012-11-01,122968.0
2012-12-01,84883.0
2013-01-01,274212.0
2013-02-01,816324.0
2013-03-01,146086.0
2013-04-01,257948.0
2013-05-01,160095.0
2013-06-01,157942.0
2013-07-01,139420.0
2013-08-01,41963.0
2013-09-01,198292.0
2013-10-01,130568.0
2013-11-01,145184.0
2013-12-01,204943.0
2014-01-01,383951.0
2014-02-01,855663.0
2014-03-01,164651.0
2014-04-01,167409.0
2014-05-01,232220.0
