Tarih,TP_KB_GEL009
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,6616.0
2006-02-01,290285.0
2006-03-01,30286.0
2006-04-01,1432.0
2006-05-01,163774.0
2006-06-01,8895.0
2006-07-01,4656.0
2006-08-01,207682.0
2006-09-01,17328.0
2006-10-01,7293.0
2006-11-01,221876.0
2006-12-01,25346.0
2007-01-01,8673.0
2007-02-01,270305.0
2007-03-01,28497.0
2007-04-01,1759.0
2007-05-01,204704.0
2007-06-01,9804.0
2007-07-01,5502.0
2007-08-01,225939.0
2007-09-01,18906.0
2007-10-01,16246.0
2007-11-01,250042.0
2007-12-01,24927.0
2008-01-01,14036.0
2008-02-01,303395.0
2008-03-01,19822.0
2008-04-01,1305.0
2008-05-01,244004.0
2008-06-01,13985.0
2008-07-01,9240.0
2008-08-01,250639.0
2008-09-01,20945.0
2008-10-01,12151.0
2008-11-01,264442.0
2008-12-01,23287.0
2009-01-01,11935.0
2009-02-01,269862.0
2009-03-01,22902.0
2009-04-01,57.0
2009-05-01,209781.0
2009-06-01,11776.0
2009-07-01,7810.0
2009-08-01,247972.0
2009-09-01,16233.0
2009-10-01,28522.0
2009-11-01,258987.0
2009-12-01,37247.0
2010-01-01,14372.0
2010-02-01,316446.0
2010-03-01,24579.0
2010-04-01,3368.0
2010-05-01,236733.0
2010-06-01,13057.0
2010-07-01,7976.0
2010-08-01,266953.0
2010-09-01,17005.0
2010-10-01,11221.0
2010-11-01,266997.0
2010-12-01,26445.0
2011-01-01,9552.0
2011-02-01,339677.0
2011-03-01,18697.0
2011-04-01,-124.0
2011-05-01,284273.0
2011-06-01,41651.0
2011-07-01,8159.0
2011-08-01,324007.0
2011-09-01,21396.0
2011-10-01,15726.0
2011-11-01,328010.0
2011-12-01,31523.0
2012-01-01,17940.0
2012-02-01,372996.0
2012-03-01,21546.0
2012-04-01,-1013.0
2012-05-01,274083.0
2012-06-01,14566.0
2012-07-01,10542.0
2012-08-01,306372.0
2012-09-01,25906.0
2012-10-01,21241.0
2012-11-01,327140.0
2012-12-01,40698.0
2013-01-01,21907.0
2013-02-01,390676.0
2013-03-01,24826.0
2013-04-01,563.0
2013-05-01,299502.0
2013-06-01,18569.0
2013-07-01,16035.0
2013-08-01,340102.0
2013-09-01,34869.0
2013-10-01,20511.0
2013-11-01,377908.0
2013-12-01,47680.0
2014-01-01,27444.0
2014-02-01,432429.0
2014-03-01,25443.0
2014-04-01,1485.0
2014-05-01,335606.0
