Tarih,TP_KB_GEL003
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,10133905.0
2006-02-01,11179272.0
2006-03-01,9937892.0
2006-04-01,9591739.0
2006-05-01,14008043.0
2006-06-01,11124192.0
2006-07-01,11894205.0
2006-08-01,13462332.0
2006-09-01,10674380.0
2006-10-01,10523192.0
2006-11-01,13422490.0
2006-12-01,11528650.0
2007-01-01,11076715.0
2007-02-01,11540191.0
2007-03-01,11324450.0
2007-04-01,9859064.0
2007-05-01,15423193.0
2007-06-01,11363950.0
2007-07-01,10988668.0
2007-08-01,17745859.0
2007-09-01,12334606.0
2007-10-01,12176442.0
2007-11-01,16756149.0
2007-12-01,12245824.0
2008-01-01,14158887.0
2008-02-01,15176649.0
2008-03-01,10920292.0
2008-04-01,12902005.0
2008-05-01,16902443.0
2008-06-01,12691402.0
2008-07-01,13778442.0
2008-08-01,18919554.0
2008-09-01,11827389.0
2008-10-01,13043732.0
2008-11-01,15752310.0
2008-12-01,12035855.0
2009-01-01,13825041.0
2009-02-01,13804651.0
2009-03-01,10514428.0
2009-04-01,12813506.0
2009-05-01,15275419.0
2009-06-01,12850277.0
2009-07-01,14435135.0
2009-08-01,19296297.0
2009-09-01,12517349.0
2009-10-01,13831397.0
2009-11-01,15083957.0
2009-12-01,18192966.0
2010-01-01,17304433.0
2010-02-01,16136198.0
2010-03-01,14461137.0
2010-04-01,15330435.0
2010-05-01,19550738.0
2010-06-01,15839217.0
2010-07-01,16959253.0
2010-08-01,23207676.0
2010-09-01,15000212.0
2010-10-01,16622005.0
2010-11-01,22162942.0
2010-12-01,17986142.0
2011-01-01,19764959.0
2011-02-01,21092749.0
2011-03-01,16592599.0
2011-04-01,19286620.0
2011-05-01,23287720.0
2011-06-01,22704192.0
2011-07-01,17216275.0
2011-08-01,29515184.0
2011-09-01,18918116.0
2011-10-01,19747727.0
2011-11-01,25980281.0
2011-12-01,19702757.0
2012-01-01,23459958.0
2012-02-01,22738404.0
2012-03-01,18274874.0
2012-04-01,19957093.0
2012-05-01,26476124.0
2012-06-01,20276385.0
2012-07-01,24243817.0
2012-08-01,26750679.0
2012-09-01,19761501.0
2012-10-01,24237908.0
2012-11-01,29501593.0
2012-12-01,23102512.0
2013-01-01,28445764.0
2013-02-01,27582270.0
2013-03-01,21323178.0
2013-04-01,24122492.0
2013-05-01,30177577.0
2013-06-01,26705487.0
2013-07-01,29601411.0
2013-08-01,28088585.0
2013-09-01,24216478.0
