Tarih,TP_KB_GEL044
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,22392.0
2006-02-01,10220.0
2006-03-01,53173.0
2006-04-01,33078.0
2006-05-01,40614.0
2006-06-01,35735.0
2006-07-01,41968.0
2006-08-01,36856.0
2006-09-01,44294.0
2006-10-01,39652.0
2006-11-01,44147.0
2006-12-01,52666.0
2007-01-01,33199.0
2007-02-01,42389.0
2007-03-01,45813.0
2007-04-01,47522.0
2007-05-01,52817.0
2007-06-01,44723.0
2007-07-01,58947.0
2007-08-01,57186.0
2007-09-01,48645.0
2007-10-01,44099.0
2007-11-01,48676.0
2007-12-01,46428.0
2008-01-01,35595.0
2008-02-01,41886.0
2008-03-01,41577.0
2008-04-01,48329.0
2008-05-01,46027.0
2008-06-01,50367.0
2008-07-01,54404.0
2008-08-01,49279.0
2008-09-01,46134.0
2008-10-01,42312.0
2008-11-01,39754.0
2008-12-01,41318.0
2009-01-01,31502.0
2009-02-01,32687.0
2009-03-01,40567.0
2009-04-01,41824.0
2009-05-01,41018.0
2009-06-01,53283.0
2009-07-01,53100.0
2009-08-01,54585.0
2009-09-01,41576.0
2009-10-01,48601.0
2009-11-01,43803.0
2009-12-01,52232.0
2010-01-01,40222.0
2010-02-01,47036.0
2010-03-01,61869.0
2010-04-01,58408.0
2010-05-01,66481.0
2010-06-01,65820.0
2010-07-01,76694.0
2010-08-01,73465.0
2010-09-01,60219.0
2010-10-01,61949.0
2010-11-01,7559.0
2010-12-01,116289.0
2011-01-01,1413.0
2011-02-01,1606.0
2011-03-01,1730.0
2011-04-01,1568.0
2011-05-01,1690.0
2011-06-01,1430.0
2011-07-01,1623.0
2011-08-01,1712.0
2011-09-01,1236.0
2011-10-01,1944.0
2011-11-01,1793.0
2011-12-01,2932.0
2012-01-01,2702.0
2012-02-01,2289.0
2012-03-01,4081.0
2012-04-01,3134.0
2012-05-01,2936.0
2012-06-01,2633.0
2012-07-01,2048.0
2012-08-01,1571.0
2012-09-01,1347.0
2012-10-01,1828.0
2012-11-01,1588.0
2012-12-01,1886.0
2013-01-01,2373.0
2013-02-01,2540.0
2013-03-01,398.0
2013-04-01,508.0
2013-05-01,449.0
2013-06-01,475.0
2013-07-01,1844.0
2013-08-01,1772.0
2013-09-01,2811.0
2013-10-01,3209.0
2013-11-01,3395.0
2013-12-01,3962.0
2014-01-01,2522.0
2014-02-01,3596.0
2014-03-01,3377.0
2014-04-01,2706.0
2014-05-01,2506.0
