Tarih,TP_KB_GEL085
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,12752.0
2006-02-01,10858.0
2006-03-01,12337.0
2006-04-01,15093.0
2006-05-01,30382.0
2006-06-01,13749.0
2006-07-01,24388.0
2006-08-01,15368.0
2006-09-01,21703.0
2006-10-01,19494.0
2006-11-01,19160.0
2006-12-01,148117.0
2007-01-01,8453.0
2007-02-01,9055.0
2007-03-01,8962.0
2007-04-01,8552.0
2007-05-01,10486.0
2007-06-01,9433.0
2007-07-01,7407.0
2007-08-01,9364.0
2007-09-01,21201.0
2007-10-01,7472.0
2007-11-01,8298.0
2007-12-01,7850.0
2008-01-01,5681.0
2008-02-01,1132.0
2008-03-01,5166.0
2008-04-01,8796.0
2008-05-01,26186.0
2008-06-01,6784.0
2008-07-01,1633.0
2008-08-01,4906.0
2008-09-01,4983.0
2008-10-01,5790.0
2008-11-01,4972.0
2008-12-01,6825.0
2009-01-01,4604.0
2009-02-01,5772.0
2009-03-01,5454.0
2009-04-01,6923.0
2009-05-01,7575.0
2009-06-01,9081.0
2009-07-01,9258.0
2009-08-01,8936.0
2009-09-01,7477.0
2009-10-01,7550.0
2009-11-01,8044.0
2009-12-01,8174.0
2010-01-01,10198.0
2010-02-01,7112.0
2010-03-01,9243.0
2010-04-01,10831.0
2010-05-01,11032.0
2010-06-01,10953.0
2010-07-01,10998.0
2010-08-01,6577.0
2010-09-01,7858.0
2010-10-01,8438.0
2010-11-01,8593.0
2010-12-01,19541.0
2011-01-01,8949.0
2011-02-01,8725.0
2011-03-01,7556.0
2011-04-01,14978.0
2011-05-01,17406.0
2011-06-01,16090.0
2011-07-01,13171.0
2011-08-01,11665.0
2011-09-01,13047.0
2011-10-01,13121.0
2011-11-01,15251.0
2011-12-01,10776.0
2012-01-01,11150.0
2012-02-01,9651.0
2012-03-01,9056.0
2012-04-01,12020.0
2012-05-01,12441.0
2012-06-01,12733.0
2012-07-01,12846.0
2012-08-01,11265.0
2012-09-01,9848.0
2012-10-01,10167.0
2012-11-01,10915.0
2012-12-01,19422.0
2013-01-01,13083.0
2013-02-01,11032.0
2013-03-01,10616.0
2013-04-01,23888.0
2013-05-01,12560.0
2013-06-01,15639.0
2013-07-01,14949.0
2013-08-01,14087.0
2013-09-01,12693.0
2013-10-01,12639.0
2013-11-01,14540.0
2013-12-01,14357.0
2014-01-01,11751.0
2014-02-01,12010.0
2014-03-01,12035.0
2014-04-01,14620.0
2014-05-01,15316.0
