Tarih,TP_KB_GID110
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,294206.0
2006-02-01,352221.0
2006-03-01,352139.0
2006-04-01,507611.0
2006-05-01,803257.0
2006-06-01,718567.0
2006-07-01,1127486.0
2006-08-01,1101502.0
2006-09-01,785194.0
2006-10-01,1073992.0
2006-11-01,926449.0
2006-12-01,4055089.0
2007-01-01,145987.0
2007-02-01,483680.0
2007-03-01,628454.0
2007-04-01,1075635.0
2007-05-01,859426.0
2007-06-01,1273274.0
2007-07-01,1254700.0
2007-08-01,1045229.0
2007-09-01,784647.0
2007-10-01,958439.0
2007-11-01,1080850.0
2007-12-01,3413159.0
2008-01-01,15692.0
2008-02-01,117364.0
2008-03-01,797179.0
2008-04-01,995948.0
2008-05-01,1034222.0
2008-06-01,1718594.0
2008-07-01,1655190.0
2008-08-01,1440763.0
2008-09-01,2050101.0
2008-10-01,1326364.0
2008-11-01,2030153.0
2008-12-01,5334323.0
2009-01-01,8684.0
2009-02-01,314186.0
2009-03-01,786844.0
2009-04-01,1820189.0
2009-05-01,776100.0
2009-06-01,1280834.0
2009-07-01,1711844.0
2009-08-01,1297178.0
2009-09-01,2296168.0
2009-10-01,1363514.0
2009-11-01,2212324.0
2009-12-01,6203644.0
2010-01-01,34902.0
2010-02-01,194039.0
2010-03-01,782592.0
2010-04-01,1190860.0
2010-05-01,1435217.0
2010-06-01,1824825.0
2010-07-01,1957903.0
2010-08-01,2805325.0
2010-09-01,1993684.0
2010-10-01,2632739.0
2010-11-01,2704564.0
2010-12-01,8453656.0
2011-01-01,72106.0
2011-02-01,366417.0
2011-03-01,1060722.0
2011-04-01,1564180.0
2011-05-01,1763671.0
2011-06-01,1976481.0
2011-07-01,2630904.0
2011-08-01,3181726.0
2011-09-01,1916564.0
2011-10-01,2975541.0
2011-11-01,3245320.0
2011-12-01,10151663.0
2012-01-01,522025.0
2012-02-01,432379.0
2012-03-01,751308.0
2012-04-01,1533626.0
2012-05-01,2099041.0
2012-06-01,1881494.0
2012-07-01,2459981.0
2012-08-01,2916128.0
2012-09-01,3022834.0
2012-10-01,4571768.0
2012-11-01,2796702.0
2012-12-01,11378029.0
2013-01-01,311696.0
2013-02-01,2418729.0
2013-03-01,1383034.0
2013-04-01,2170618.0
2013-05-01,2548433.0
2013-06-01,3141197.0
2013-07-01,3907972.0
2013-08-01,2849269.0
2013-09-01,3563011.0
2013-10-01,4583317.0
2013-11-01,3102756.0
2013-12-01,13787246.0
